i, frequency, magnitude
0,1805200.0,-73.08
1,1805447.8405315615,-72.87
2,1805695.6810631228,-71.32
3,1805943.5215946843,-71.32
5,1806439.2026578074,-71.96
4,1806191.3621262459,-72.47
6,1806687.0431893687,-71.65
7,1806934.8837209302,-71.87
8,1807182.7242524917,-71.87
9,1807430.5647840532,-71.11
10,1807678.4053156145,-71.72
11,1807926.245847176,-71.57
13,1808421.926910299,-71.65
12,1808174.0863787376,-71.49
14,1808669.7674418604,-71.12
15,1808917.607973422,-71.46
16,1809165.4485049834,-70.48
17,1809413.2890365447,-70.84
18,1809661.1295681063,-72.36
19,1809908.9700996678,-72.22
21,1810404.6511627906,-71.73
20,1810156.8106312293,-71.14
23,1810900.3322259136,-72.32
22,1810652.4916943521,-71.59
24,1811148.1727574752,-71.29
25,1811396.0132890365,-72.77
26,1811643.853820598,-72.19
27,1811891.6943521595,-70.95
28,1812139.534883721,-71.47
29,1812387.3754152823,-72.4
30,1812635.2159468438,-72.53
31,1812883.0564784054,-72.17
32,1813130.8970099667,-71.72
33,1813378.7375415282,-72.09
34,1813626.5780730897,-72.23
35,1813874.4186046512,-71.39
36,1814122.2591362125,-73.19
37,1814370.099667774,-71.7
38,1814617.9401993356,-72.57
39,1814865.780730897,-72.41
40,1815113.6212624584,-71.13
41,1815361.46179402,-72.24
42,1815609.3023255814,-72.27
43,1815857.142857143,-70.77
44,1816104.9833887042,-71.99
45,1816352.8239202658,-71.16
46,1816600.6644518273,-72.08
47,1816848.5049833888,-70.93
48,1817096.34551495,-72.0
49,1817344.1860465116,-71.0
50,1817592.0265780732,-70.65
51,1817839.8671096344,-72.73
52,1818087.707641196,-71.99
53,1818335.5481727575,-72.16
54,1818583.388704319,-73.27
55,1818831.2292358803,-72.26
56,1819079.0697674418,-72.12
57,1819326.9102990034,-72.63
58,1819574.7508305649,-71.44
59,1819822.5913621262,-71.29
60,1820070.4318936877,-72.03
61,1820318.2724252492,-72.3
62,1820566.1129568107,-71.59
63,1820813.953488372,-71.89
64,1821061.7940199336,-71.79
65,1821309.634551495,-72.44
66,1821557.4750830564,-70.66
67,1821805.315614618,-71.36
68,1822053.1561461794,-71.59
69,1822300.996677741,-72.22
70,1822548.8372093022,-72.42
71,1822796.6777408638,-71.85
72,1823044.5182724253,-72.21
73,1823292.3588039868,-71.15
74,1823540.199335548,-71.54
75,1823788.0398671096,-71.92
76,1824035.8803986711,-72.18
77,1824283.7209302327,-72.55
78,1824531.561461794,-71.75
79,1824779.4019933555,-71.67
80,1825027.242524917,-71.62
81,1825275.0830564783,-72.2
82,1825522.9235880398,-71.13
83,1825770.7641196013,-72.0
84,1826018.6046511629,-70.53
85,1826266.4451827242,-72.84
86,1826514.2857142857,-70.92
87,1826762.1262458472,-72.37
88,1827009.9667774087,-70.98
89,1827257.80730897,-70.74
90,1827505.6478405315,-71.84
91,1827753.488372093,-71.74
92,1828001.3289036546,-72.06
93,1828249.1694352159,-71.82
94,1828497.0099667774,-70.79
95,1828744.850498339,-72.02
96,1828992.6910299002,-72.47
97,1829240.5315614617,-71.56
98,1829488.3720930233,-72.34
99,1829736.2126245848,-72.19
100,1829984.053156146,-71.72
101,1830231.8936877076,-72.17
102,1830479.7342192691,-72.11
103,1830727.5747508307,-71.55
104,1830975.415282392,-70.79
105,1831223.2558139535,-71.78
106,1831471.096345515,-71.99
107,1831718.9368770765,-72.0
108,1831966.7774086378,-69.63
110,1832462.4584717609,-71.81
109,1832214.6179401993,-71.2
112,1832958.1395348837,-71.47
111,1832710.2990033221,-70.74
