i, frequency, magnitude
0,1805200.0,-72.77
1,1805447.8405315615,-71.03
2,1805695.6810631228,-72.56
3,1805943.5215946843,-72.03
4,1806191.3621262459,-71.86
5,1806439.2026578074,-71.97
6,1806687.0431893687,-72.33
7,1806934.8837209302,-72.47
8,1807182.7242524917,-69.85
9,1807430.5647840532,-71.36
10,1807678.4053156145,-71.79
11,1807926.245847176,-72.1
12,1808174.0863787376,-71.72
13,1808421.926910299,-70.74
14,1808669.7674418604,-72.1
15,1808917.607973422,-73.02
16,1809165.4485049834,-70.42
17,1809413.2890365447,-70.63
18,1809661.1295681063,-73.19
19,1809908.9700996678,-70.77
20,1810156.8106312293,-71.1
21,1810404.6511627906,-71.92
22,1810652.4916943521,-72.32
23,1810900.3322259136,-70.08
24,1811148.1727574752,-71.52
25,1811396.0132890365,-72.35
26,1811643.853820598,-70.82
27,1811891.6943521595,-72.49
28,1812139.534883721,-72.46
29,1812387.3754152823,-71.41
30,1812635.2159468438,-71.38
31,1812883.0564784054,-71.37
32,1813130.8970099667,-72.24
33,1813378.7375415282,-72.5
34,1813626.5780730897,-71.6
35,1813874.4186046512,-71.49
36,1814122.2591362125,-72.53
37,1814370.099667774,-72.03
38,1814617.9401993356,-72.98
39,1814865.780730897,-72.59
40,1815113.6212624584,-72.11
41,1815361.46179402,-71.98
42,1815609.3023255814,-72.31
43,1815857.142857143,-71.88
44,1816104.9833887042,-71.75
45,1816352.8239202658,-72.35
46,1816600.6644518273,-70.96
47,1816848.5049833888,-71.9
48,1817096.34551495,-71.77
49,1817344.1860465116,-71.68
50,1817592.0265780732,-71.91
51,1817839.8671096344,-70.81
52,1818087.707641196,-71.48
53,1818335.5481727575,-71.05
54,1818583.388704319,-71.34
55,1818831.2292358803,-70.99
56,1819079.0697674418,-72.5
57,1819326.9102990034,-72.02
58,1819574.7508305649,-70.52
59,1819822.5913621262,-71.64
60,1820070.4318936877,-72.12
61,1820318.2724252492,-71.7
62,1820566.1129568107,-71.65
63,1820813.953488372,-71.19
64,1821061.7940199336,-72.02
65,1821309.634551495,-72.45
