i, frequency, magnitude
0,1805200.0,-70.08
1,1805447.8405315615,-71.76
2,1805695.6810631228,-72.05
3,1805943.5215946843,-71.0
4,1806191.3621262459,-71.76
5,1806439.2026578074,-71.55
6,1806687.0431893687,-71.76
7,1806934.8837209302,-71.83
8,1807182.7242524917,-71.53
9,1807430.5647840532,-70.9
10,1807678.4053156145,-71.09
11,1807926.245847176,-70.92
12,1808174.0863787376,-71.14
13,1808421.926910299,-71.6
14,1808669.7674418604,-71.57
15,1808917.607973422,-71.3
16,1809165.4485049834,-71.58
17,1809413.2890365447,-71.01
18,1809661.1295681063,-72.32
19,1809908.9700996678,-70.81
20,1810156.8106312293,-72.05
21,1810404.6511627906,-71.15
22,1810652.4916943521,-71.44
24,1811148.1727574752,-71.91
23,1810900.3322259136,-70.74
25,1811396.0132890365,-72.63
26,1811643.853820598,-71.46
27,1811891.6943521595,-71.46
28,1812139.534883721,-71.7
29,1812387.3754152823,-73.26
30,1812635.2159468438,-72.65
31,1812883.0564784054,-71.25
32,1813130.8970099667,-72.31
33,1813378.7375415282,-72.61
35,1813874.4186046512,-71.62
34,1813626.5780730897,-71.61
36,1814122.2591362125,-72.03
37,1814370.099667774,-72.2
38,1814617.9401993356,-72.15
39,1814865.780730897,-71.35
40,1815113.6212624584,-72.48
41,1815361.46179402,-71.33
42,1815609.3023255814,-71.85
43,1815857.142857143,-72.18
44,1816104.9833887042,-71.89
45,1816352.8239202658,-71.57
46,1816600.6644518273,-72.23
47,1816848.5049833888,-71.91
48,1817096.34551495,-71.6
49,1817344.1860465116,-72.44
50,1817592.0265780732,-69.81
51,1817839.8671096344,-70.27
52,1818087.707641196,-70.94
53,1818335.5481727575,-70.33
54,1818583.388704319,-70.94
55,1818831.2292358803,-69.9
56,1819079.0697674418,-73.09
57,1819326.9102990034,-71.65
58,1819574.7508305649,-71.01
59,1819822.5913621262,-72.16
60,1820070.4318936877,-73.0
61,1820318.2724252492,-70.53
62,1820566.1129568107,-72.95
63,1820813.953488372,-70.87
64,1821061.7940199336,-72.04
65,1821309.634551495,-71.3
66,1821557.4750830564,-72.36
67,1821805.315614618,-70.61
68,1822053.1561461794,-71.22
69,1822300.996677741,-72.15
70,1822548.8372093022,-71.18
71,1822796.6777408638,-71.95
72,1823044.5182724253,-72.49
73,1823292.3588039868,-72.77
74,1823540.199335548,-72.01
75,1823788.0398671096,-73.0
76,1824035.8803986711,-72.29
77,1824283.7209302327,-71.67
78,1824531.561461794,-72.38
79,1824779.4019933555,-72.28
80,1825027.242524917,-70.24
81,1825275.0830564783,-71.94
82,1825522.9235880398,-71.23
83,1825770.7641196013,-69.97
84,1826018.6046511629,-71.38
85,1826266.4451827242,-71.42
86,1826514.2857142857,-71.96
87,1826762.1262458472,-72.67
88,1827009.9667774087,-71.98
89,1827257.80730897,-72.77
90,1827505.6478405315,-71.11
91,1827753.488372093,-71.44
92,1828001.3289036546,-71.69
93,1828249.1694352159,-71.87
94,1828497.0099667774,-72.54
95,1828744.850498339,-71.71
96,1828992.6910299002,-72.24
97,1829240.5315614617,-71.39
98,1829488.3720930233,-71.34
99,1829736.2126245848,-72.02
100,1829984.053156146,-71.47
101,1830231.8936877076,-73.14
102,1830479.7342192691,-71.61
103,1830727.5747508307,-70.64
104,1830975.415282392,-71.84
105,1831223.2558139535,-70.64
106,1831471.096345515,-72.37
107,1831718.9368770765,-69.45
108,1831966.7774086378,-72.25
109,1832214.6179401993,-72.08
110,1832462.4584717609,-71.65
111,1832710.2990033221,-71.94
112,1832958.1395348837,-71.12
113,1833205.9800664452,-71.27
114,1833453.8205980067,-71.8
115,1833701.661129568,-71.43
117,1834197.342192691,-72.57
116,1833949.5016611295,-72.31
118,1834445.1827242526,-71.68
119,1834693.0232558139,-72.19
120,1834940.8637873754,-71.16
121,1835188.704318937,-71.89
122,1835436.5448504984,-71.49
124,1835932.2259136213,-71.87
123,1835684.3853820597,-72.12
125,1836180.0664451828,-72.35
126,1836427.9069767443,-70.95
127,1836675.7475083056,-72.23
128,1836923.588039867,-71.29
129,1837171.4285714286,-72.78
131,1837667.1096345515,-70.85
130,1837419.26910299,-71.8
132,1837914.950166113,-70.48
133,1838162.7906976745,-71.98
134,1838410.6312292358,-69.78
135,1838658.4717607973,-71.36
136,1838906.3122923588,-71.54
137,1839154.1528239204,-71.61
138,1839401.9933554817,-72.17
139,1839649.8338870432,-72.12
140,1839897.6744186047,-72.32
141,1840145.5149501662,-71.04
142,1840393.3554817275,-71.93
143,1840641.196013289,-72.06
144,1840889.0365448506,-71.3
145,1841136.8770764119,-72.47
146,1841384.7176079734,-72.43
147,1841632.558139535,-72.09
148,1841880.3986710964,-72.32
149,1842128.2392026577,-71.83
150,1842376.0797342192,-71.98
151,1842623.9202657808,-71.38
152,1842871.7607973423,-71.81
154,1843367.441860465,-72.33
153,1843119.6013289036,-73.0
155,1843615.2823920266,-72.26
156,1843863.1229235881,-72.49
157,1844110.9634551494,-72.05
158,1844358.803986711,-72.42
159,1844606.6445182725,-72.24
160,1844854.4850498338,-72.45
161,1845102.3255813953,-71.74
163,1845598.0066445183,-70.46
162,1845350.1661129568,-72.34
164,1845845.8471760796,-72.99
166,1846341.5282392027,-71.82
165,1846093.6877076412,-72.2
167,1846589.3687707642,-70.8
168,1846837.2093023255,-71.51
169,1847085.049833887,-72.27
170,1847332.8903654485,-72.91
171,1847580.73089701,-72.69
173,1848076.411960133,-72.0
172,1847828.5714285714,-71.68
174,1848324.2524916944,-72.16
175,1848572.093023256,-71.23
176,1848819.9335548172,-71.69
177,1849067.7740863787,-70.93
178,1849315.6146179403,-72.18
179,1849563.4551495016,-71.4
180,1849811.295681063,-71.04
181,1850059.1362126246,-71.32
182,1850306.9767441861,-72.65
184,1850802.657807309,-72.79
183,1850554.8172757474,-71.15
185,1851050.4983388705,-72.12
186,1851298.338870432,-71.39
187,1851546.1794019933,-71.29
188,1851794.0199335548,-72.06
189,1852041.8604651163,-70.13
190,1852289.7009966779,-87.0
192,1852785.3820598007,-87.28
191,1852537.5415282391,-86.17
193,1853033.2225913622,-88.48
195,1853528.903654485,-86.62
194,1853281.0631229235,-87.28
196,1853776.7441860465,-86.08
197,1854024.584717608,-87.38
198,1854272.4252491693,-86.88
199,1854520.2657807309,-87.72
200,1854768.1063122924,-87.05
201,1855015.946843854,-87.98
202,1855263.7873754152,-87.23
203,1855511.6279069767,-86.77
204,1855759.4684385383,-85.16
206,1856255.149501661,-86.83
205,1856007.3089700998,-86.84
207,1856502.9900332226,-86.42
208,1856750.8305647841,-85.79
209,1856998.6710963454,-86.96
211,1857494.3521594685,-88.1
210,1857246.511627907,-87.49
212,1857742.19269103,-87.92
213,1857990.0332225913,-86.0
214,1858237.8737541528,-87.43
215,1858485.7142857143,-87.24
216,1858733.5548172758,-87.06
217,1858981.3953488371,-87.58
218,1859229.2358803987,-87.61
219,1859477.0764119602,-88.35
220,1859724.9169435217,-86.36
221,1859972.757475083,-86.71
222,1860220.5980066445,-87.85
223,1860468.438538206,-88.15
224,1860716.2790697673,-87.56
225,1860964.1196013289,-88.02
226,1861211.9601328904,-88.48
227,1861459.800664452,-86.88
228,1861707.6411960132,-86.35
229,1861955.4817275747,-87.49
230,1862203.3222591362,-86.67
231,1862451.1627906978,-86.17
232,1862699.003322259,-87.82
233,1862946.8438538206,-87.58
234,1863194.684385382,-85.24
235,1863442.5249169436,-87.33
236,1863690.365448505,-87.16
237,1863938.2059800664,-87.79
238,1864186.046511628,-87.75
239,1864433.8870431893,-86.99
240,1864681.7275747508,-87.26
241,1864929.5681063123,-87.88
242,1865177.4086378738,-87.55
243,1865425.2491694351,-87.79
244,1865673.0897009966,-87.72
245,1865920.9302325582,-86.02
246,1866168.7707641197,-87.47
247,1866416.611295681,-87.91
248,1866664.4518272425,-87.24
249,1866912.292358804,-86.89
250,1867160.1328903656,-85.82
251,1867407.9734219268,-87.13
252,1867655.8139534884,-87.23
253,1867903.65448505,-87.65
254,1868151.4950166112,-86.52
