i, frequency, magnitude
0,589000000.0,-100.22
1,589033222.5913621,-100.25
2,589066445.1827242,-100.34
3,589099667.7740864,-99.98
4,589132890.3654485,-98.82
5,589166112.9568106,-100.54
6,589199335.5481727,-98.72
7,589232558.1395348,-99.92
8,589265780.7308971,-102.25
9,589299003.3222592,-100.69
10,589332225.9136213,-98.58
11,589365448.5049834,-99.82
12,589398671.0963455,-100.85
13,589431893.6877077,-100.15
14,589465116.2790698,-98.84
15,589498338.8704319,-99.08
16,589531561.461794,-99.11
17,589564784.0531561,-100.16
18,589598006.6445183,-100.13
19,589631229.2358804,-100.05
20,589664451.8272425,-101.68
21,589697674.4186046,-98.48
22,589730897.0099667,-99.43
23,589764119.6013288,-99.39
24,589797342.1926911,-102.53
25,589830564.7840532,-100.15
26,589863787.3754153,-100.39
27,589897009.9667774,-99.83
28,589930232.5581396,-100.12
29,589963455.1495017,-101.45
30,589996677.7408638,-98.07
31,590029900.3322259,-98.99
32,590063122.923588,-99.97
33,590096345.5149502,-99.76
34,590129568.1063123,-99.82
35,590162790.6976744,-98.21
36,590196013.2890365,-86.52
37,590229235.8803986,-84.33
38,590262458.4717607,-85.24
39,590295681.0631229,-86.01
40,590328903.6544851,-84.55
41,590362126.2458472,-86.07
42,590395348.8372093,-84.89
43,590428571.4285715,-85.73
44,590461794.0199336,-84.49
45,590495016.6112957,-85.51
46,590528239.2026578,-85.62
47,590561461.7940199,-85.47
48,590594684.385382,-85.37
49,590627906.9767442,-84.63
50,590661129.5681063,-86.14
51,590694352.1594684,-85.11
52,590727574.7508305,-84.72
53,590760797.3421926,-84.28
54,590794019.9335548,-84.19
55,590827242.5249169,-86.29
56,590860465.1162791,-84.94
57,590893687.7076412,-84.03
58,590926910.2990034,-84.08
59,590960132.8903655,-83.85
60,590993355.4817276,-84.76
61,591026578.0730897,-84.57
62,591059800.6644518,-83.59
63,591093023.255814,-83.75
64,591126245.8471761,-84.96
65,591159468.4385382,-84.2
66,591192691.0299003,-83.42
67,591225913.6212624,-84.17
68,591259136.2126245,-85.3
69,591292358.8039867,-84.49
70,591325581.3953488,-83.08
71,591358803.9867109,-82.87
72,591392026.5780731,-82.64
73,591425249.1694353,-84.09
74,591458471.7607974,-85.05
75,591491694.3521595,-84.26
76,591524916.9435216,-84.03
77,591558139.5348837,-84.1
78,591591362.1262459,-82.87
79,591624584.717608,-83.85
80,591657807.3089701,-82.89
81,591691029.9003322,-82.64
82,591724252.4916943,-83.12
83,591757475.0830564,-82.69
84,591790697.6744186,-83.36
85,591823920.2657807,-82.85
86,591857142.8571428,-83.07
87,591890365.4485049,-82.74
88,591923588.0398672,-83.43
89,591956810.6312293,-82.99
90,591990033.2225914,-83.23
91,592023255.8139535,-82.76
92,592056478.4053156,-82.72
93,592089700.9966778,-82.22
94,592122923.5880399,-82.21
95,592156146.179402,-82.01
96,592189368.7707641,-82.59
97,592222591.3621262,-81.84
98,592255813.9534883,-82.8
99,592289036.5448505,-83.06
100,592322259.1362126,-83.2
101,592355481.7275747,-82.55
102,592388704.3189368,-81.8
103,592421926.9102991,-83.44
104,592455149.5016612,-82.23
105,592488372.0930233,-81.8
106,592521594.6843854,-82.58
107,592554817.2757475,-82.62
108,592588039.8671097,-82.22
109,592621262.4584718,-82.07
110,592654485.0498339,-81.48
111,592687707.641196,-83.11
112,592720930.2325581,-81.11
113,592754152.8239202,-81.8
114,592787375.4152824,-83.54
115,592820598.0066445,-82.54
116,592853820.5980066,-82.24
117,592887043.1893687,-82.76
118,592920265.7807308,-82.32
119,592953488.3720931,-83.0
120,592986710.9634552,-82.48
121,593019933.5548173,-83.83
122,593053156.1461794,-82.05
123,593086378.7375416,-83.33
124,593119601.3289037,-84.56
125,593152823.9202658,-82.47
126,593186046.5116279,-83.92
127,593219269.10299,-84.57
128,593252491.6943521,-83.66
129,593285714.2857143,-84.01
130,593318936.8770764,-83.76
131,593352159.4684385,-83.29
132,593385382.0598006,-85.0
133,593418604.6511627,-84.77
134,593451827.2425249,-84.54
135,593485049.8338871,-84.52
136,593518272.4252492,-85.62
137,593551495.0166113,-85.56
138,593584717.6079735,-83.45
139,593617940.1993356,-83.97
140,593651162.7906977,-83.62
141,593684385.3820598,-83.79
142,593717607.9734219,-83.03
143,593750830.564784,-82.81
144,593784053.1561462,-82.09
145,593817275.7475083,-81.86
146,593850498.3388704,-82.7
147,593883720.9302325,-81.13
148,593916943.5215946,-80.85
149,593950166.1129568,-82.42
150,593983388.7043189,-81.24
151,594016611.2956811,-80.7
152,594049833.8870432,-81.12
153,594083056.4784054,-81.16
154,594116279.0697675,-82.26
155,594149501.6611296,-81.65
156,594182724.2524917,-82.03
157,594215946.8438538,-81.08
158,594249169.435216,-80.62
159,594282392.0265781,-80.8
160,594315614.6179402,-81.35
161,594348837.2093023,-82.03
162,594382059.8006644,-80.66
163,594415282.3920265,-81.08
164,594448504.9833887,-81.0
165,594481727.5747508,-81.92
166,594514950.1661129,-80.8
167,594548172.7574751,-80.48
168,594581395.3488373,-80.34
169,594614617.9401994,-80.16
170,594647840.5315615,-81.14
171,594681063.1229236,-81.37
172,594714285.7142857,-79.89
173,594747508.3056479,-79.84
174,594780730.89701,-79.58
175,594813953.4883721,-79.58
176,594847176.0797342,-80.1
177,594880398.6710963,-81.27
178,594913621.2624584,-79.69
179,594946843.8538206,-80.9
180,594980066.4451827,-81.33
181,595013289.0365448,-79.59
182,595046511.6279069,-81.81
183,595079734.2192692,-79.69
184,595112956.8106313,-81.52
185,595146179.4019934,-79.87
186,595179401.9933555,-80.92
187,595212624.5847176,-80.27
188,595245847.1760798,-81.74
189,595279069.7674419,-80.76
190,595312292.358804,-80.44
191,595345514.9501661,-80.75
192,595378737.5415282,-79.72
193,595411960.1328903,-80.97
194,595445182.7242525,-81.53
195,595478405.3156146,-79.56
196,595511627.9069767,-81.39
197,595544850.4983388,-81.26
198,595578073.0897009,-80.46
199,595611295.6810632,-80.69
200,595644518.2724253,-79.81
201,595677740.8637874,-80.77
202,595710963.4551495,-80.89
203,595744186.0465117,-80.24
204,595777408.6378738,-80.47
205,595810631.2292359,-80.75
206,595843853.820598,-80.57
207,595877076.4119601,-80.75
208,595910299.0033222,-81.61
209,595943521.5946844,-79.58
210,595976744.1860465,-80.83
211,596009966.7774086,-80.28
212,596043189.3687707,-78.84
213,596076411.9601328,-79.22
214,596109634.5514951,-79.9
215,596142857.1428572,-79.31
216,596176079.7342193,-79.87
217,596209302.3255814,-79.03
218,596242524.9169436,-78.84
219,596275747.5083057,-79.34
220,596308970.0996678,-81.05
221,596342192.6910299,-79.84
222,596375415.282392,-79.11
223,596408637.8737541,-79.34
224,596441860.4651163,-79.71
225,596475083.0564784,-78.42
226,596508305.6478405,-81.0
227,596541528.2392026,-79.46
228,596574750.8305647,-80.1
229,596607973.4219269,-79.98
230,596641196.0132891,-79.25
231,596674418.6046512,-79.64
232,596707641.1960133,-80.77
233,596740863.7873755,-78.58
234,596774086.3787376,-79.72
235,596807308.9700997,-79.74
236,596840531.5614618,-81.14
237,596873754.1528239,-79.01
238,596906976.744186,-80.08
239,596940199.3355482,-80.71
240,596973421.9269103,-81.34
241,597006644.5182724,-80.63
242,597039867.1096345,-80.76
243,597073089.7009966,-80.67
244,597106312.2923588,-80.03
245,597139534.8837209,-80.07
246,597172757.4750831,-79.14
247,597205980.0664452,-81.49
248,597239202.6578074,-80.65
249,597272425.2491695,-80.14
250,597305647.8405316,-80.21
251,597338870.4318937,-81.49
252,597372093.0232558,-80.68
253,597405315.614618,-79.28
254,597438538.2059801,-79.63
255,597471760.7973422,-79.03
256,597504983.3887043,-79.88
257,597538205.9800664,-80.04
258,597571428.5714285,-79.84
259,597604651.1627907,-78.71
260,597637873.7541528,-80.31
261,597671096.3455149,-77.91
262,597704318.9368771,-78.43
263,597737541.5282393,-79.3
264,597770764.1196014,-79.6
265,597803986.7109635,-84.38
266,597837209.3023256,-99.06
267,597870431.8936877,-98.93
268,597903654.4850498,-99.23
269,597936877.076412,-98.41
270,597970099.6677741,-100.78
271,598003322.2591362,-99.27
272,598036544.8504983,-98.59
273,598069767.4418604,-98.93
274,598102990.0332226,-98.94
275,598136212.6245847,-100.34
276,598169435.2159468,-98.9
277,598202657.8073089,-98.73
278,598235880.3986712,-100.12
279,598269102.9900333,-99.41
280,598302325.5813954,-99.18
281,598335548.1727575,-98.72
282,598368770.7641196,-100.56
283,598401993.3554817,-98.89
284,598435215.9468439,-98.92
285,598468438.538206,-97.89
286,598501661.1295681,-97.8
287,598534883.7209302,-97.84
288,598568106.3122923,-100.47
289,598601328.9036545,-99.15
290,598634551.4950166,-98.36
291,598667774.0863787,-98.51
292,598700996.6777408,-100.79
293,598734219.269103,-99.44
294,598767441.8604652,-98.44
295,598800664.4518273,-100.75
296,598833887.0431894,-99.67
297,598867109.6345515,-100.5
298,598900332.2259136,-100.65
299,598933554.8172758,-101.98
