i, frequency, magnitude
0,589000000.0,-97.77
1,589033222.5913621,-99.56
2,589066445.1827242,-99.12
3,589099667.7740864,-100.26
4,589132890.3654485,-100.0
5,589166112.9568106,-98.95
6,589199335.5481727,-98.61
7,589232558.1395348,-99.5
8,589265780.7308971,-99.22
9,589299003.3222592,-100.58
10,589332225.9136213,-100.33
11,589365448.5049834,-99.07
12,589398671.0963455,-99.36
13,589431893.6877077,-98.6
14,589465116.2790698,-99.88
15,589498338.8704319,-99.21
16,589531561.461794,-99.89
17,589564784.0531561,-100.17
18,589598006.6445183,-99.6
19,589631229.2358804,-99.58
20,589664451.8272425,-100.67
21,589697674.4186046,-100.28
22,589730897.0099667,-98.53
23,589764119.6013288,-99.63
24,589797342.1926911,-98.89
25,589830564.7840532,-99.17
26,589863787.3754153,-100.05
27,589897009.9667774,-98.3
28,589930232.5581396,-99.15
29,589963455.1495017,-98.88
30,589996677.7408638,-99.92
31,590029900.3322259,-98.74
32,590063122.923588,-99.31
33,590096345.5149502,-98.12
34,590129568.1063123,-100.42
35,590162790.6976744,-98.82
36,590196013.2890365,-87.17
37,590229235.8803986,-85.09
38,590262458.4717607,-86.73
39,590295681.0631229,-84.99
40,590328903.6544851,-84.74
41,590362126.2458472,-84.43
42,590395348.8372093,-84.44
43,590428571.4285715,-86.37
44,590461794.0199336,-85.18
45,590495016.6112957,-84.6
46,590528239.2026578,-85.52
47,590561461.7940199,-84.1
48,590594684.385382,-85.08
49,590627906.9767442,-85.51
50,590661129.5681063,-83.12
51,590694352.1594684,-84.35
52,590727574.7508305,-85.43
53,590760797.3421926,-84.47
54,590794019.9335548,-83.73
55,590827242.5249169,-86.65
56,590860465.1162791,-85.13
57,590893687.7076412,-84.6
58,590926910.2990034,-83.94
59,590960132.8903655,-83.54
60,590993355.4817276,-84.54
61,591026578.0730897,-83.31
62,591059800.6644518,-83.51
63,591093023.255814,-83.75
64,591126245.8471761,-85.31
65,591159468.4385382,-84.04
66,591192691.0299003,-83.63
67,591225913.6212624,-83.63
68,591259136.2126245,-83.38
69,591292358.8039867,-83.45
70,591325581.3953488,-84.06
71,591358803.9867109,-84.35
72,591392026.5780731,-84.33
73,591425249.1694353,-83.86
74,591458471.7607974,-83.33
75,591491694.3521595,-84.0
76,591524916.9435216,-83.95
77,591558139.5348837,-83.14
78,591591362.1262459,-83.88
79,591624584.717608,-83.01
80,591657807.3089701,-83.04
81,591691029.9003322,-82.21
82,591724252.4916943,-83.06
83,591757475.0830564,-83.37
84,591790697.6744186,-83.12
85,591823920.2657807,-83.84
86,591857142.8571428,-82.74
87,591890365.4485049,-82.49
88,591923588.0398672,-83.26
89,591956810.6312293,-82.5
90,591990033.2225914,-82.34
91,592023255.8139535,-83.31
92,592056478.4053156,-84.09
93,592089700.9966778,-82.75
94,592122923.5880399,-84.09
95,592156146.179402,-82.77
96,592189368.7707641,-82.65
97,592222591.3621262,-82.28
98,592255813.9534883,-81.94
99,592289036.5448505,-83.59
100,592322259.1362126,-81.25
101,592355481.7275747,-81.75
102,592388704.3189368,-81.1
103,592421926.9102991,-82.02
104,592455149.5016612,-82.74
105,592488372.0930233,-81.56
106,592521594.6843854,-82.55
107,592554817.2757475,-83.3
108,592588039.8671097,-81.84
109,592621262.4584718,-80.64
110,592654485.0498339,-81.82
111,592687707.641196,-83.2
112,592720930.2325581,-83.08
113,592754152.8239202,-83.07
114,592787375.4152824,-82.08
115,592820598.0066445,-83.65
116,592853820.5980066,-84.65
117,592887043.1893687,-81.91
118,592920265.7807308,-82.24
119,592953488.3720931,-83.18
120,592986710.9634552,-82.05
121,593019933.5548173,-83.36
122,593053156.1461794,-83.35
123,593086378.7375416,-83.78
124,593119601.3289037,-84.29
125,593152823.9202658,-83.66
126,593186046.5116279,-83.71
127,593219269.10299,-83.65
128,593252491.6943521,-82.92
129,593285714.2857143,-85.19
130,593318936.8770764,-83.04
131,593352159.4684385,-83.27
132,593385382.0598006,-84.26
133,593418604.6511627,-83.69
134,593451827.2425249,-83.62
135,593485049.8338871,-83.88
136,593518272.4252492,-84.83
137,593551495.0166113,-84.04
138,593584717.6079735,-84.16
139,593617940.1993356,-83.76
140,593651162.7906977,-83.42
141,593684385.3820598,-83.91
142,593717607.9734219,-82.2
143,593750830.564784,-83.2
144,593784053.1561462,-82.77
145,593817275.7475083,-83.31
146,593850498.3388704,-82.11
147,593883720.9302325,-81.2
148,593916943.5215946,-81.14
149,593950166.1129568,-83.17
150,593983388.7043189,-80.82
151,594016611.2956811,-81.14
152,594049833.8870432,-81.34
153,594083056.4784054,-81.37
154,594116279.0697675,-80.81
155,594149501.6611296,-81.03
156,594182724.2524917,-81.08
157,594215946.8438538,-81.29
158,594249169.435216,-82.38
159,594282392.0265781,-81.34
160,594315614.6179402,-82.14
161,594348837.2093023,-81.48
162,594382059.8006644,-79.6
163,594415282.3920265,-79.93
164,594448504.9833887,-80.47
165,594481727.5747508,-80.55
166,594514950.1661129,-80.17
167,594548172.7574751,-80.5
168,594581395.3488373,-79.75
169,594614617.9401994,-80.68
170,594647840.5315615,-80.43
171,594681063.1229236,-80.67
172,594714285.7142857,-81.14
173,594747508.3056479,-80.62
174,594780730.89701,-79.9
175,594813953.4883721,-80.3
176,594847176.0797342,-80.0
177,594880398.6710963,-81.64
178,594913621.2624584,-81.09
179,594946843.8538206,-81.06
180,594980066.4451827,-80.22
181,595013289.0365448,-80.32
182,595046511.6279069,-80.84
183,595079734.2192692,-80.42
184,595112956.8106313,-81.16
185,595146179.4019934,-80.15
186,595179401.9933555,-79.13
187,595212624.5847176,-79.7
188,595245847.1760798,-80.74
189,595279069.7674419,-79.44
190,595312292.358804,-79.33
191,595345514.9501661,-81.01
192,595378737.5415282,-80.38
193,595411960.1328903,-80.65
194,595445182.7242525,-81.32
195,595478405.3156146,-80.11
196,595511627.9069767,-80.87
197,595544850.4983388,-82.8
198,595578073.0897009,-80.59
199,595611295.6810632,-81.23
200,595644518.2724253,-80.69
201,595677740.8637874,-80.27
202,595710963.4551495,-79.49
203,595744186.0465117,-81.0
204,595777408.6378738,-80.95
205,595810631.2292359,-80.11
206,595843853.820598,-80.57
207,595877076.4119601,-79.12
208,595910299.0033222,-81.62
209,595943521.5946844,-80.1
210,595976744.1860465,-80.98
211,596009966.7774086,-79.15
212,596043189.3687707,-78.56
213,596076411.9601328,-80.35
214,596109634.5514951,-79.16
215,596142857.1428572,-79.98
216,596176079.7342193,-79.53
217,596209302.3255814,-79.5
218,596242524.9169436,-80.24
219,596275747.5083057,-79.1
220,596308970.0996678,-78.54
221,596342192.6910299,-80.31
222,596375415.282392,-80.18
223,596408637.8737541,-79.04
224,596441860.4651163,-79.87
225,596475083.0564784,-79.71
226,596508305.6478405,-79.84
227,596541528.2392026,-79.92
228,596574750.8305647,-79.42
229,596607973.4219269,-80.54
230,596641196.0132891,-80.34
231,596674418.6046512,-79.55
232,596707641.1960133,-78.65
233,596740863.7873755,-79.3
234,596774086.3787376,-79.94
235,596807308.9700997,-78.62
236,596840531.5614618,-80.0
237,596873754.1528239,-79.5
238,596906976.744186,-80.78
239,596940199.3355482,-80.26
240,596973421.9269103,-78.84
241,597006644.5182724,-79.32
242,597039867.1096345,-82.18
243,597073089.7009966,-80.21
244,597106312.2923588,-80.54
245,597139534.8837209,-81.39
246,597172757.4750831,-79.56
247,597205980.0664452,-79.78
248,597239202.6578074,-79.64
249,597272425.2491695,-80.69
250,597305647.8405316,-80.18
251,597338870.4318937,-80.06
252,597372093.0232558,-80.9
253,597405315.614618,-80.19
254,597438538.2059801,-78.65
255,597471760.7973422,-78.58
256,597504983.3887043,-79.02
257,597538205.9800664,-79.39
258,597571428.5714285,-79.14
259,597604651.1627907,-78.09
260,597637873.7541528,-79.78
261,597671096.3455149,-80.16
262,597704318.9368771,-79.64
263,597737541.5282393,-78.74
264,597770764.1196014,-79.67
265,597803986.7109635,-86.95
266,597837209.3023256,-99.01
267,597870431.8936877,-99.26
268,597903654.4850498,-99.06
269,597936877.076412,-99.62
270,597970099.6677741,-99.56
271,598003322.2591362,-99.84
272,598036544.8504983,-99.46
273,598069767.4418604,-100.25
274,598102990.0332226,-99.8
275,598136212.6245847,-99.23
276,598169435.2159468,-100.69
277,598202657.8073089,-99.19
278,598235880.3986712,-99.79
279,598269102.9900333,-99.25
280,598302325.5813954,-98.99
281,598335548.1727575,-100.12
282,598368770.7641196,-100.02
283,598401993.3554817,-98.93
284,598435215.9468439,-100.59
285,598468438.538206,-98.9
286,598501661.1295681,-100.05
287,598534883.7209302,-99.46
288,598568106.3122923,-99.44
289,598601328.9036545,-99.31
290,598634551.4950166,-99.49
291,598667774.0863787,-99.94
292,598700996.6777408,-99.91
293,598734219.269103,-98.56
294,598767441.8604652,-99.12
295,598800664.4518273,-99.9
296,598833887.0431894,-100.16
297,598867109.6345515,-99.08
298,598900332.2259136,-100.87
299,598933554.8172758,-99.11
