i, frequency, magnitude
0,589000000.0,-99.85
1,589033222.5913621,-100.4
2,589066445.1827242,-100.91
3,589099667.7740864,-98.65
4,589132890.3654485,-99.35
5,589166112.9568106,-99.68
6,589199335.5481727,-100.31
7,589232558.1395348,-98.99
8,589265780.7308971,-99.23
9,589299003.3222592,-99.32
10,589332225.9136213,-98.07
11,589365448.5049834,-99.8
12,589398671.0963455,-98.08
13,589431893.6877077,-100.24
14,589465116.2790698,-97.91
15,589498338.8704319,-100.22
16,589531561.461794,-98.95
17,589564784.0531561,-99.29
18,589598006.6445183,-99.3
19,589631229.2358804,-100.5
20,589664451.8272425,-99.37
21,589697674.4186046,-99.97
22,589730897.0099667,-99.0
23,589764119.6013288,-101.6
24,589797342.1926911,-100.55
25,589830564.7840532,-98.8
26,589863787.3754153,-97.86
27,589897009.9667774,-102.05
28,589930232.5581396,-99.19
29,589963455.1495017,-100.05
30,589996677.7408638,-98.91
31,590029900.3322259,-99.76
32,590063122.923588,-99.33
33,590096345.5149502,-99.95
34,590129568.1063123,-99.03
35,590162790.6976744,-96.96
36,590196013.2890365,-86.69
37,590229235.8803986,-84.25
38,590262458.4717607,-86.08
39,590295681.0631229,-84.37
40,590328903.6544851,-84.9
41,590362126.2458472,-85.46
42,590395348.8372093,-85.79
43,590428571.4285715,-85.4
44,590461794.0199336,-84.29
45,590495016.6112957,-85.48
46,590528239.2026578,-85.63
47,590561461.7940199,-85.51
48,590594684.385382,-84.59
49,590627906.9767442,-84.71
50,590661129.5681063,-85.71
51,590694352.1594684,-84.91
52,590727574.7508305,-84.13
53,590760797.3421926,-85.16
54,590794019.9335548,-84.14
55,590827242.5249169,-85.16
56,590860465.1162791,-84.71
57,590893687.7076412,-84.28
58,590926910.2990034,-85.14
59,590960132.8903655,-84.77
60,590993355.4817276,-84.07
61,591026578.0730897,-83.36
62,591059800.6644518,-83.83
63,591093023.255814,-84.26
64,591126245.8471761,-84.47
65,591159468.4385382,-84.43
66,591192691.0299003,-83.11
67,591225913.6212624,-82.58
68,591259136.2126245,-85.16
69,591292358.8039867,-84.34
70,591325581.3953488,-85.13
71,591358803.9867109,-83.56
72,591392026.5780731,-83.93
73,591425249.1694353,-83.57
74,591458471.7607974,-84.09
75,591491694.3521595,-83.83
76,591524916.9435216,-83.55
77,591558139.5348837,-83.47
78,591591362.1262459,-83.57
79,591624584.717608,-83.67
80,591657807.3089701,-85.01
81,591691029.9003322,-83.21
82,591724252.4916943,-82.59
83,591757475.0830564,-83.64
84,591790697.6744186,-85.29
85,591823920.2657807,-84.21
86,591857142.8571428,-82.81
87,591890365.4485049,-82.75
88,591923588.0398672,-83.21
89,591956810.6312293,-83.35
90,591990033.2225914,-84.17
91,592023255.8139535,-81.98
92,592056478.4053156,-83.51
93,592089700.9966778,-81.8
94,592122923.5880399,-82.97
95,592156146.179402,-81.23
96,592189368.7707641,-83.75
97,592222591.3621262,-82.3
98,592255813.9534883,-81.7
99,592289036.5448505,-82.38
100,592322259.1362126,-83.26
101,592355481.7275747,-81.9
102,592388704.3189368,-81.79
103,592421926.9102991,-81.75
104,592455149.5016612,-82.1
105,592488372.0930233,-82.11
106,592521594.6843854,-81.8
107,592554817.2757475,-82.31
108,592588039.8671097,-81.18
109,592621262.4584718,-81.84
110,592654485.0498339,-81.47
111,592687707.641196,-82.72
112,592720930.2325581,-83.99
113,592754152.8239202,-83.42
114,592787375.4152824,-83.36
115,592820598.0066445,-83.54
116,592853820.5980066,-83.67
117,592887043.1893687,-81.97
118,592920265.7807308,-83.27
119,592953488.3720931,-83.27
120,592986710.9634552,-84.18
121,593019933.5548173,-84.17
122,593053156.1461794,-81.55
123,593086378.7375416,-82.67
124,593119601.3289037,-83.47
125,593152823.9202658,-82.83
126,593186046.5116279,-84.6
127,593219269.10299,-84.13
128,593252491.6943521,-83.02
129,593285714.2857143,-84.15
130,593318936.8770764,-82.9
131,593352159.4684385,-83.72
132,593385382.0598006,-83.35
133,593418604.6511627,-84.4
134,593451827.2425249,-84.71
135,593485049.8338871,-84.86
136,593518272.4252492,-84.42
137,593551495.0166113,-83.63
138,593584717.6079735,-83.52
139,593617940.1993356,-82.67
140,593651162.7906977,-83.67
141,593684385.3820598,-83.84
142,593717607.9734219,-83.42
143,593750830.564784,-83.19
144,593784053.1561462,-82.59
145,593817275.7475083,-82.72
146,593850498.3388704,-82.48
147,593883720.9302325,-81.71
148,593916943.5215946,-81.21
149,593950166.1129568,-80.96
150,593983388.7043189,-80.91
151,594016611.2956811,-81.86
152,594049833.8870432,-81.26
153,594083056.4784054,-79.99
154,594116279.0697675,-80.98
155,594149501.6611296,-81.09
156,594182724.2524917,-79.86
157,594215946.8438538,-81.01
158,594249169.435216,-81.85
159,594282392.0265781,-81.23
160,594315614.6179402,-81.1
161,594348837.2093023,-79.58
162,594382059.8006644,-81.12
163,594415282.3920265,-80.11
164,594448504.9833887,-80.41
165,594481727.5747508,-79.6
166,594514950.1661129,-80.22
167,594548172.7574751,-80.95
168,594581395.3488373,-80.46
169,594614617.9401994,-80.99
170,594647840.5315615,-81.21
171,594681063.1229236,-80.24
172,594714285.7142857,-80.03
173,594747508.3056479,-81.23
174,594780730.89701,-80.87
175,594813953.4883721,-80.08
176,594847176.0797342,-79.02
177,594880398.6710963,-81.66
178,594913621.2624584,-81.1
179,594946843.8538206,-82.46
180,594980066.4451827,-81.01
181,595013289.0365448,-80.77
182,595046511.6279069,-81.37
183,595079734.2192692,-79.25
184,595112956.8106313,-80.11
185,595146179.4019934,-79.7
186,595179401.9933555,-80.38
187,595212624.5847176,-81.94
188,595245847.1760798,-79.6
189,595279069.7674419,-80.44
190,595312292.358804,-81.4
191,595345514.9501661,-80.92
192,595378737.5415282,-82.09
193,595411960.1328903,-80.69
194,595445182.7242525,-80.61
195,595478405.3156146,-80.75
196,595511627.9069767,-80.56
197,595544850.4983388,-80.23
198,595578073.0897009,-80.16
199,595611295.6810632,-81.57
200,595644518.2724253,-80.0
201,595677740.8637874,-80.63
202,595710963.4551495,-81.58
203,595744186.0465117,-79.67
204,595777408.6378738,-80.14
205,595810631.2292359,-80.63
206,595843853.820598,-80.26
207,595877076.4119601,-79.54
208,595910299.0033222,-80.22
209,595943521.5946844,-80.02
210,595976744.1860465,-79.6
211,596009966.7774086,-79.74
212,596043189.3687707,-80.44
213,596076411.9601328,-79.69
214,596109634.5514951,-79.62
215,596142857.1428572,-80.77
216,596176079.7342193,-79.61
217,596209302.3255814,-79.05
218,596242524.9169436,-78.94
219,596275747.5083057,-78.47
220,596308970.0996678,-80.12
221,596342192.6910299,-78.99
