i, frequency, magnitude
0,589000000.0,-99.56
1,589033222.5913621,-100.3
2,589066445.1827242,-100.26
3,589099667.7740864,-100.43
4,589132890.3654485,-99.09
5,589166112.9568106,-99.71
6,589199335.5481727,-98.05
7,589232558.1395348,-102.21
8,589265780.7308971,-99.17
9,589299003.3222592,-99.06
10,589332225.9136213,-101.27
11,589365448.5049834,-99.44
12,589398671.0963455,-98.98
13,589431893.6877077,-102.02
14,589465116.2790698,-98.85
15,589498338.8704319,-100.78
16,589531561.461794,-100.15
17,589564784.0531561,-99.9
18,589598006.6445183,-100.02
19,589631229.2358804,-99.36
20,589664451.8272425,-101.62
21,589697674.4186046,-98.38
22,589730897.0099667,-98.17
23,589764119.6013288,-98.51
24,589797342.1926911,-99.01
25,589830564.7840532,-99.04
26,589863787.3754153,-98.78
27,589897009.9667774,-100.36
28,589930232.5581396,-98.88
29,589963455.1495017,-101.27
30,589996677.7408638,-99.73
31,590029900.3322259,-99.71
32,590063122.923588,-99.43
33,590096345.5149502,-100.36
34,590129568.1063123,-97.66
35,590162790.6976744,-99.46
36,590196013.2890365,-85.47
37,590229235.8803986,-85.77
38,590262458.4717607,-85.12
39,590295681.0631229,-85.12
40,590328903.6544851,-85.1
41,590362126.2458472,-85.24
42,590395348.8372093,-85.49
43,590428571.4285715,-86.07
44,590461794.0199336,-85.8
45,590495016.6112957,-85.1
46,590528239.2026578,-84.35
47,590561461.7940199,-84.72
48,590594684.385382,-85.44
49,590627906.9767442,-85.54
50,590661129.5681063,-84.37
51,590694352.1594684,-84.16
52,590727574.7508305,-85.74
53,590760797.3421926,-83.89
54,590794019.9335548,-83.61
55,590827242.5249169,-85.7
56,590860465.1162791,-84.38
57,590893687.7076412,-83.52
58,590926910.2990034,-83.53
59,590960132.8903655,-84.9
60,590993355.4817276,-83.69
61,591026578.0730897,-83.91
62,591059800.6644518,-84.47
63,591093023.255814,-83.63
64,591126245.8471761,-84.08
65,591159468.4385382,-83.21
66,591192691.0299003,-83.44
67,591225913.6212624,-85.56
