i, frequency, magnitude
0,589000000.0,-100.09
1,589033222.5913621,-99.58
2,589066445.1827242,-98.91
3,589099667.7740864,-99.42
4,589132890.3654485,-99.85
5,589166112.9568106,-99.66
6,589199335.5481727,-98.78
7,589232558.1395348,-99.55
8,589265780.7308971,-99.54
9,589299003.3222592,-98.67
10,589332225.9136213,-100.4
11,589365448.5049834,-100.35
12,589398671.0963455,-101.53
13,589431893.6877077,-98.76
14,589465116.2790698,-99.46
15,589498338.8704319,-99.23
16,589531561.461794,-99.33
17,589564784.0531561,-99.11
18,589598006.6445183,-99.37
19,589631229.2358804,-100.94
20,589664451.8272425,-100.07
21,589697674.4186046,-101.44
22,589730897.0099667,-99.11
23,589764119.6013288,-98.96
24,589797342.1926911,-100.43
25,589830564.7840532,-100.13
26,589863787.3754153,-99.39
27,589897009.9667774,-99.72
28,589930232.5581396,-98.96
29,589963455.1495017,-99.62
30,589996677.7408638,-101.21
31,590029900.3322259,-102.25
32,590063122.923588,-99.02
33,590096345.5149502,-99.02
34,590129568.1063123,-100.24
35,590162790.6976744,-98.5
36,590196013.2890365,-86.15
37,590229235.8803986,-86.63
38,590262458.4717607,-85.67
39,590295681.0631229,-86.76
40,590328903.6544851,-85.05
41,590362126.2458472,-85.96
42,590395348.8372093,-85.8
43,590428571.4285715,-87.76
44,590461794.0199336,-86.55
45,590495016.6112957,-86.73
46,590528239.2026578,-84.81
47,590561461.7940199,-87.04
48,590594684.385382,-85.18
49,590627906.9767442,-84.12
50,590661129.5681063,-85.32
51,590694352.1594684,-84.83
52,590727574.7508305,-85.09
53,590760797.3421926,-85.29
54,590794019.9335548,-84.45
55,590827242.5249169,-84.89
56,590860465.1162791,-84.67
57,590893687.7076412,-85.06
58,590926910.2990034,-84.57
59,590960132.8903655,-84.82
60,590993355.4817276,-83.48
61,591026578.0730897,-85.24
62,591059800.6644518,-84.29
63,591093023.255814,-84.81
64,591126245.8471761,-83.86
65,591159468.4385382,-84.43
66,591192691.0299003,-84.29
67,591225913.6212624,-84.06
68,591259136.2126245,-85.35
69,591292358.8039867,-83.99
70,591325581.3953488,-84.48
71,591358803.9867109,-82.58
72,591392026.5780731,-84.92
73,591425249.1694353,-83.49
74,591458471.7607974,-83.06
75,591491694.3521595,-84.05
76,591524916.9435216,-83.8
77,591558139.5348837,-83.11
78,591591362.1262459,-83.91
79,591624584.717608,-82.41
80,591657807.3089701,-83.98
81,591691029.9003322,-81.45
82,591724252.4916943,-83.36
83,591757475.0830564,-82.8
84,591790697.6744186,-83.51
85,591823920.2657807,-83.34
86,591857142.8571428,-82.18
87,591890365.4485049,-83.54
88,591923588.0398672,-83.33
89,591956810.6312293,-83.36
90,591990033.2225914,-82.61
91,592023255.8139535,-82.85
92,592056478.4053156,-81.64
93,592089700.9966778,-82.31
94,592122923.5880399,-82.22
95,592156146.179402,-82.62
96,592189368.7707641,-81.36
97,592222591.3621262,-81.65
98,592255813.9534883,-82.56
99,592289036.5448505,-81.05
100,592322259.1362126,-81.61
101,592355481.7275747,-81.23
102,592388704.3189368,-81.06
103,592421926.9102991,-81.69
104,592455149.5016612,-81.42
105,592488372.0930233,-81.93
106,592521594.6843854,-81.11
107,592554817.2757475,-82.2
108,592588039.8671097,-81.1
109,592621262.4584718,-81.22
110,592654485.0498339,-82.17
111,592687707.641196,-81.6
112,592720930.2325581,-82.66
113,592754152.8239202,-81.52
114,592787375.4152824,-82.04
115,592820598.0066445,-82.55
116,592853820.5980066,-82.14
117,592887043.1893687,-81.69
118,592920265.7807308,-82.02
119,592953488.3720931,-83.25
120,592986710.9634552,-83.39
121,593019933.5548173,-82.57
122,593053156.1461794,-83.18
123,593086378.7375416,-83.26
124,593119601.3289037,-83.23
125,593152823.9202658,-82.77
126,593186046.5116279,-84.01
127,593219269.10299,-83.57
128,593252491.6943521,-83.52
129,593285714.2857143,-82.27
130,593318936.8770764,-84.46
131,593352159.4684385,-83.11
132,593385382.0598006,-84.22
133,593418604.6511627,-83.87
134,593451827.2425249,-83.89
135,593485049.8338871,-84.53
136,593518272.4252492,-83.92
137,593551495.0166113,-82.58
138,593584717.6079735,-82.94
139,593617940.1993356,-83.07
140,593651162.7906977,-82.96
141,593684385.3820598,-82.72
142,593717607.9734219,-83.34
143,593750830.564784,-81.49
144,593784053.1561462,-82.62
145,593817275.7475083,-81.1
146,593850498.3388704,-81.51
147,593883720.9302325,-80.79
148,593916943.5215946,-80.91
149,593950166.1129568,-80.98
150,593983388.7043189,-82.02
151,594016611.2956811,-80.63
152,594049833.8870432,-81.22
153,594083056.4784054,-79.85
154,594116279.0697675,-81.13
155,594149501.6611296,-81.98
156,594182724.2524917,-80.32
157,594215946.8438538,-81.78
158,594249169.435216,-80.18
159,594282392.0265781,-80.73
160,594315614.6179402,-80.43
161,594348837.2093023,-83.26
162,594382059.8006644,-80.87
163,594415282.3920265,-81.37
164,594448504.9833887,-80.83
165,594481727.5747508,-81.25
166,594514950.1661129,-79.33
167,594548172.7574751,-80.03
168,594581395.3488373,-80.34
169,594614617.9401994,-79.99
170,594647840.5315615,-80.97
171,594681063.1229236,-80.45
172,594714285.7142857,-80.12
173,594747508.3056479,-79.83
174,594780730.89701,-79.15
175,594813953.4883721,-80.05
176,594847176.0797342,-80.39
177,594880398.6710963,-79.99
178,594913621.2624584,-80.74
179,594946843.8538206,-81.4
180,594980066.4451827,-80.84
181,595013289.0365448,-80.41
182,595046511.6279069,-79.22
183,595079734.2192692,-80.56
184,595112956.8106313,-79.24
185,595146179.4019934,-80.32
186,595179401.9933555,-80.64
187,595212624.5847176,-80.36
188,595245847.1760798,-79.6
189,595279069.7674419,-80.31
190,595312292.358804,-80.48
191,595345514.9501661,-81.15
192,595378737.5415282,-81.99
193,595411960.1328903,-80.4
194,595445182.7242525,-79.81
195,595478405.3156146,-80.39
196,595511627.9069767,-81.25
197,595544850.4983388,-80.13
198,595578073.0897009,-80.84
199,595611295.6810632,-81.59
200,595644518.2724253,-80.3
201,595677740.8637874,-81.51
202,595710963.4551495,-79.78
203,595744186.0465117,-79.77
204,595777408.6378738,-79.75
205,595810631.2292359,-80.46
206,595843853.820598,-80.71
207,595877076.4119601,-79.32
208,595910299.0033222,-80.58
209,595943521.5946844,-79.49
210,595976744.1860465,-79.17
211,596009966.7774086,-80.17
212,596043189.3687707,-79.11
213,596076411.9601328,-80.5
214,596109634.5514951,-78.37
215,596142857.1428572,-78.8
216,596176079.7342193,-79.3
217,596209302.3255814,-78.82
218,596242524.9169436,-78.8
219,596275747.5083057,-78.04
220,596308970.0996678,-80.66
221,596342192.6910299,-79.87
222,596375415.282392,-79.17
223,596408637.8737541,-78.84
224,596441860.4651163,-79.67
225,596475083.0564784,-78.75
226,596508305.6478405,-78.41
227,596541528.2392026,-79.04
228,596574750.8305647,-79.24
229,596607973.4219269,-79.59
230,596641196.0132891,-79.08
231,596674418.6046512,-78.21
232,596707641.1960133,-79.47
233,596740863.7873755,-77.36
234,596774086.3787376,-78.28
235,596807308.9700997,-80.07
236,596840531.5614618,-78.96
237,596873754.1528239,-79.89
238,596906976.744186,-80.29
239,596940199.3355482,-79.93
240,596973421.9269103,-79.09
241,597006644.5182724,-79.22
242,597039867.1096345,-80.52
243,597073089.7009966,-79.66
244,597106312.2923588,-78.94
245,597139534.8837209,-80.27
246,597172757.4750831,-79.96
247,597205980.0664452,-79.56
248,597239202.6578074,-79.21
249,597272425.2491695,-81.04
250,597305647.8405316,-81.62
251,597338870.4318937,-80.65
252,597372093.0232558,-79.65
253,597405315.614618,-79.7
254,597438538.2059801,-79.61
255,597471760.7973422,-80.9
256,597504983.3887043,-80.13
257,597538205.9800664,-78.12
258,597571428.5714285,-79.23
259,597604651.1627907,-78.9
260,597637873.7541528,-80.17
261,597671096.3455149,-78.77
262,597704318.9368771,-78.15
263,597737541.5282393,-78.0
