i, frequency, magnitude
0,589000000.0,-100.19
1,589033222.5913621,-100.49
2,589066445.1827242,-100.19
3,589099667.7740864,-100.77
4,589132890.3654485,-98.54
5,589166112.9568106,-101.45
6,589199335.5481727,-100.86
7,589232558.1395348,-99.53
8,589265780.7308971,-98.74
9,589299003.3222592,-98.79
10,589332225.9136213,-100.07
11,589365448.5049834,-101.46
12,589398671.0963455,-99.99
13,589431893.6877077,-99.45
14,589465116.2790698,-99.73
15,589498338.8704319,-98.85
16,589531561.461794,-99.82
17,589564784.0531561,-99.18
18,589598006.6445183,-99.97
19,589631229.2358804,-100.49
20,589664451.8272425,-98.8
21,589697674.4186046,-99.02
22,589730897.0099667,-100.04
23,589764119.6013288,-98.93
24,589797342.1926911,-99.45
25,589830564.7840532,-99.43
26,589863787.3754153,-100.41
27,589897009.9667774,-98.75
28,589930232.5581396,-98.2
29,589963455.1495017,-98.84
30,589996677.7408638,-99.83
31,590029900.3322259,-99.76
32,590063122.923588,-99.48
33,590096345.5149502,-99.71
34,590129568.1063123,-100.45
35,590162790.6976744,-99.38
36,590196013.2890365,-86.15
37,590229235.8803986,-86.04
38,590262458.4717607,-86.15
39,590295681.0631229,-86.67
40,590328903.6544851,-86.94
41,590362126.2458472,-85.23
42,590395348.8372093,-84.97
43,590428571.4285715,-84.62
44,590461794.0199336,-85.24
45,590495016.6112957,-84.06
46,590528239.2026578,-86.21
47,590561461.7940199,-85.61
48,590594684.385382,-86.0
49,590627906.9767442,-85.52
50,590661129.5681063,-84.61
51,590694352.1594684,-85.29
52,590727574.7508305,-84.9
53,590760797.3421926,-85.78
54,590794019.9335548,-84.87
55,590827242.5249169,-85.56
56,590860465.1162791,-85.38
57,590893687.7076412,-85.4
58,590926910.2990034,-84.05
59,590960132.8903655,-85.13
60,590993355.4817276,-84.13
61,591026578.0730897,-84.33
62,591059800.6644518,-84.92
63,591093023.255814,-84.8
64,591126245.8471761,-83.22
65,591159468.4385382,-83.52
66,591192691.0299003,-84.5
67,591225913.6212624,-84.67
68,591259136.2126245,-83.65
69,591292358.8039867,-84.32
70,591325581.3953488,-83.76
71,591358803.9867109,-83.71
72,591392026.5780731,-84.02
73,591425249.1694353,-84.21
74,591458471.7607974,-84.78
75,591491694.3521595,-84.01
76,591524916.9435216,-84.05
77,591558139.5348837,-84.78
78,591591362.1262459,-83.7
79,591624584.717608,-83.39
80,591657807.3089701,-84.4
81,591691029.9003322,-82.46
82,591724252.4916943,-81.81
83,591757475.0830564,-83.09
84,591790697.6744186,-82.97
85,591823920.2657807,-83.55
86,591857142.8571428,-83.89
87,591890365.4485049,-81.83
88,591923588.0398672,-83.39
89,591956810.6312293,-82.17
90,591990033.2225914,-82.61
91,592023255.8139535,-81.79
92,592056478.4053156,-81.4
93,592089700.9966778,-83.53
94,592122923.5880399,-82.44
95,592156146.179402,-81.97
96,592189368.7707641,-82.25
97,592222591.3621262,-81.56
98,592255813.9534883,-82.28
99,592289036.5448505,-81.95
100,592322259.1362126,-80.55
101,592355481.7275747,-82.45
102,592388704.3189368,-80.91
103,592421926.9102991,-80.46
104,592455149.5016612,-80.63
105,592488372.0930233,-82.9
106,592521594.6843854,-81.95
