i, frequency, magnitude
0,589000000.0,-100.09
1,589033222.5913621,-101.13
2,589066445.1827242,-100.18
3,589099667.7740864,-100.33
4,589132890.3654485,-101.64
5,589166112.9568106,-98.84
6,589199335.5481727,-99.68
7,589232558.1395348,-99.45
8,589265780.7308971,-99.77
9,589299003.3222592,-98.44
10,589332225.9136213,-98.89
11,589365448.5049834,-100.27
12,589398671.0963455,-97.78
13,589431893.6877077,-101.25
14,589465116.2790698,-99.15
15,589498338.8704319,-98.78
16,589531561.461794,-100.61
17,589564784.0531561,-99.63
18,589598006.6445183,-99.75
19,589631229.2358804,-100.56
20,589664451.8272425,-101.14
21,589697674.4186046,-98.44
22,589730897.0099667,-99.96
23,589764119.6013288,-99.14
24,589797342.1926911,-101.47
25,589830564.7840532,-98.42
26,589863787.3754153,-99.91
27,589897009.9667774,-98.81
28,589930232.5581396,-99.67
29,589963455.1495017,-101.22
30,589996677.7408638,-100.2
31,590029900.3322259,-99.05
32,590063122.923588,-100.21
33,590096345.5149502,-97.82
34,590129568.1063123,-98.9
35,590162790.6976744,-99.03
36,590196013.2890365,-87.75
37,590229235.8803986,-84.77
38,590262458.4717607,-85.91
39,590295681.0631229,-85.88
40,590328903.6544851,-86.01
41,590362126.2458472,-85.81
42,590395348.8372093,-84.67
43,590428571.4285715,-84.56
44,590461794.0199336,-85.08
45,590495016.6112957,-84.46
46,590528239.2026578,-84.9
47,590561461.7940199,-86.38
48,590594684.385382,-85.46
49,590627906.9767442,-84.99
50,590661129.5681063,-86.0
51,590694352.1594684,-84.2
52,590727574.7508305,-84.59
53,590760797.3421926,-84.92
54,590794019.9335548,-84.33
55,590827242.5249169,-83.63
56,590860465.1162791,-85.23
57,590893687.7076412,-84.2
58,590926910.2990034,-84.72
59,590960132.8903655,-84.24
60,590993355.4817276,-84.24
61,591026578.0730897,-85.25
62,591059800.6644518,-83.49
63,591093023.255814,-83.38
64,591126245.8471761,-85.16
65,591159468.4385382,-84.41
66,591192691.0299003,-83.0
67,591225913.6212624,-83.74
68,591259136.2126245,-84.01
69,591292358.8039867,-84.91
70,591325581.3953488,-83.32
71,591358803.9867109,-82.71
72,591392026.5780731,-83.46
73,591425249.1694353,-83.62
74,591458471.7607974,-83.08
75,591491694.3521595,-85.02
76,591524916.9435216,-84.95
77,591558139.5348837,-83.67
78,591591362.1262459,-84.39
79,591624584.717608,-83.24
80,591657807.3089701,-82.93
81,591691029.9003322,-81.39
82,591724252.4916943,-82.93
83,591757475.0830564,-82.49
84,591790697.6744186,-84.08
85,591823920.2657807,-82.7
86,591857142.8571428,-84.25
87,591890365.4485049,-83.34
88,591923588.0398672,-81.94
89,591956810.6312293,-82.58
90,591990033.2225914,-85.02
91,592023255.8139535,-82.7
92,592056478.4053156,-82.93
