i, frequency, magnitude
0,589000000.0,-100.28
1,589033222.5913621,-100.57
2,589066445.1827242,-100.0
3,589099667.7740864,-99.21
4,589132890.3654485,-100.51
5,589166112.9568106,-99.94
6,589199335.5481727,-98.96
7,589232558.1395348,-99.1
8,589265780.7308971,-99.77
9,589299003.3222592,-98.53
10,589332225.9136213,-97.84
11,589365448.5049834,-99.49
12,589398671.0963455,-98.49
13,589431893.6877077,-99.47
14,589465116.2790698,-99.63
15,589498338.8704319,-99.28
16,589531561.461794,-99.28
17,589564784.0531561,-99.51
18,589598006.6445183,-100.04
19,589631229.2358804,-100.35
20,589664451.8272425,-99.06
21,589697674.4186046,-99.9
22,589730897.0099667,-99.87
23,589764119.6013288,-100.17
24,589797342.1926911,-98.8
25,589830564.7840532,-100.63
26,589863787.3754153,-99.09
27,589897009.9667774,-99.97
28,589930232.5581396,-98.92
29,589963455.1495017,-99.01
30,589996677.7408638,-99.26
31,590029900.3322259,-99.52
32,590063122.923588,-98.93
33,590096345.5149502,-98.65
34,590129568.1063123,-99.48
35,590162790.6976744,-97.62
36,590196013.2890365,-86.28
37,590229235.8803986,-84.51
38,590262458.4717607,-85.23
39,590295681.0631229,-86.93
40,590328903.6544851,-85.99
41,590362126.2458472,-84.27
42,590395348.8372093,-86.13
43,590428571.4285715,-85.72
44,590461794.0199336,-85.79
45,590495016.6112957,-84.6
46,590528239.2026578,-85.14
47,590561461.7940199,-85.54
48,590594684.385382,-84.97
49,590627906.9767442,-86.83
50,590661129.5681063,-83.2
51,590694352.1594684,-84.05
52,590727574.7508305,-83.74
53,590760797.3421926,-84.03
54,590794019.9335548,-84.5
55,590827242.5249169,-85.46
56,590860465.1162791,-84.45
57,590893687.7076412,-83.95
58,590926910.2990034,-84.25
59,590960132.8903655,-83.94
60,590993355.4817276,-83.21
61,591026578.0730897,-82.86
62,591059800.6644518,-82.96
63,591093023.255814,-84.5
64,591126245.8471761,-84.38
65,591159468.4385382,-83.23
66,591192691.0299003,-83.07
67,591225913.6212624,-82.84
68,591259136.2126245,-85.31
69,591292358.8039867,-83.79
70,591325581.3953488,-83.35
71,591358803.9867109,-84.82
72,591392026.5780731,-84.26
73,591425249.1694353,-84.31
74,591458471.7607974,-82.58
75,591491694.3521595,-84.42
76,591524916.9435216,-83.76
77,591558139.5348837,-84.91
78,591591362.1262459,-84.86
79,591624584.717608,-83.7
80,591657807.3089701,-83.44
81,591691029.9003322,-83.82
82,591724252.4916943,-83.26
83,591757475.0830564,-84.26
84,591790697.6744186,-83.0
85,591823920.2657807,-82.97
86,591857142.8571428,-82.95
87,591890365.4485049,-82.06
88,591923588.0398672,-82.45
89,591956810.6312293,-83.52
90,591990033.2225914,-83.86
91,592023255.8139535,-82.27
92,592056478.4053156,-83.05
93,592089700.9966778,-82.48
94,592122923.5880399,-83.47
95,592156146.179402,-82.06
96,592189368.7707641,-81.53
97,592222591.3621262,-82.85
98,592255813.9534883,-82.48
99,592289036.5448505,-81.9
100,592322259.1362126,-82.04
101,592355481.7275747,-82.93
102,592388704.3189368,-81.43
103,592421926.9102991,-80.64
104,592455149.5016612,-82.4
105,592488372.0930233,-82.2
106,592521594.6843854,-83.15
107,592554817.2757475,-81.49
108,592588039.8671097,-82.1
109,592621262.4584718,-82.01
110,592654485.0498339,-82.7
111,592687707.641196,-81.12
112,592720930.2325581,-82.02
113,592754152.8239202,-82.44
114,592787375.4152824,-82.62
115,592820598.0066445,-82.39
116,592853820.5980066,-81.82
117,592887043.1893687,-83.4
118,592920265.7807308,-82.11
119,592953488.3720931,-84.37
120,592986710.9634552,-83.56
121,593019933.5548173,-82.9
122,593053156.1461794,-82.54
123,593086378.7375416,-82.98
124,593119601.3289037,-83.14
125,593152823.9202658,-85.35
126,593186046.5116279,-84.47
127,593219269.10299,-83.73
128,593252491.6943521,-83.44
129,593285714.2857143,-84.06
130,593318936.8770764,-83.15
131,593352159.4684385,-84.71
132,593385382.0598006,-84.17
133,593418604.6511627,-85.37
134,593451827.2425249,-83.51
135,593485049.8338871,-84.74
136,593518272.4252492,-84.33
137,593551495.0166113,-83.7
138,593584717.6079735,-83.48
139,593617940.1993356,-81.98
140,593651162.7906977,-82.89
141,593684385.3820598,-83.8
142,593717607.9734219,-84.52
143,593750830.564784,-83.96
144,593784053.1561462,-82.7
145,593817275.7475083,-81.64
146,593850498.3388704,-82.43
147,593883720.9302325,-80.86
148,593916943.5215946,-82.81
149,593950166.1129568,-81.41
150,593983388.7043189,-80.89
151,594016611.2956811,-81.07
152,594049833.8870432,-80.57
153,594083056.4784054,-80.58
154,594116279.0697675,-80.98
155,594149501.6611296,-80.65
156,594182724.2524917,-81.53
157,594215946.8438538,-79.67
158,594249169.435216,-81.81
159,594282392.0265781,-80.49
160,594315614.6179402,-80.47
161,594348837.2093023,-80.89
162,594382059.8006644,-80.82
163,594415282.3920265,-80.04
164,594448504.9833887,-80.19
165,594481727.5747508,-80.71
166,594514950.1661129,-80.32
167,594548172.7574751,-81.33
168,594581395.3488373,-79.67
169,594614617.9401994,-79.51
170,594647840.5315615,-80.48
171,594681063.1229236,-79.93
172,594714285.7142857,-80.58
173,594747508.3056479,-79.81
174,594780730.89701,-80.6
175,594813953.4883721,-81.13
176,594847176.0797342,-79.7
177,594880398.6710963,-80.44
178,594913621.2624584,-81.02
179,594946843.8538206,-80.87
180,594980066.4451827,-80.4
181,595013289.0365448,-79.5
182,595046511.6279069,-80.22
183,595079734.2192692,-79.86
184,595112956.8106313,-80.5
185,595146179.4019934,-80.97
186,595179401.9933555,-79.54
187,595212624.5847176,-80.06
188,595245847.1760798,-80.62
189,595279069.7674419,-80.95
190,595312292.358804,-82.0
191,595345514.9501661,-80.26
192,595378737.5415282,-80.64
193,595411960.1328903,-80.73
194,595445182.7242525,-78.83
195,595478405.3156146,-80.98
196,595511627.9069767,-81.37
197,595544850.4983388,-81.97
198,595578073.0897009,-80.49
199,595611295.6810632,-79.89
200,595644518.2724253,-81.85
201,595677740.8637874,-80.41
202,595710963.4551495,-80.07
203,595744186.0465117,-80.51
204,595777408.6378738,-80.56
205,595810631.2292359,-81.77
206,595843853.820598,-80.23
207,595877076.4119601,-78.58
208,595910299.0033222,-80.75
209,595943521.5946844,-79.6
210,595976744.1860465,-80.13
211,596009966.7774086,-79.58
212,596043189.3687707,-79.09
