i, frequency, magnitude
0,589000000.0,-100.75
1,589033222.5913621,-101.14
2,589066445.1827242,-100.03
3,589099667.7740864,-99.45
4,589132890.3654485,-99.77
5,589166112.9568106,-100.28
6,589199335.5481727,-100.27
7,589232558.1395348,-99.91
8,589265780.7308971,-98.31
9,589299003.3222592,-100.04
10,589332225.9136213,-98.95
11,589365448.5049834,-100.5
12,589398671.0963455,-100.48
13,589431893.6877077,-99.14
14,589465116.2790698,-99.21
15,589498338.8704319,-99.11
16,589531561.461794,-100.26
17,589564784.0531561,-99.61
18,589598006.6445183,-101.34
19,589631229.2358804,-100.32
20,589664451.8272425,-101.29
21,589697674.4186046,-98.75
22,589730897.0099667,-99.66
23,589764119.6013288,-100.26
24,589797342.1926911,-99.67
25,589830564.7840532,-100.01
26,589863787.3754153,-100.79
27,589897009.9667774,-97.83
28,589930232.5581396,-99.89
29,589963455.1495017,-99.13
30,589996677.7408638,-99.92
31,590029900.3322259,-100.54
32,590063122.923588,-99.68
33,590096345.5149502,-98.41
34,590129568.1063123,-99.77
35,590162790.6976744,-97.94
36,590196013.2890365,-87.26
37,590229235.8803986,-85.5
38,590262458.4717607,-85.76
39,590295681.0631229,-86.5
40,590328903.6544851,-84.79
41,590362126.2458472,-85.35
42,590395348.8372093,-86.21
43,590428571.4285715,-85.54
44,590461794.0199336,-84.13
45,590495016.6112957,-85.36
46,590528239.2026578,-85.33
47,590561461.7940199,-84.89
48,590594684.385382,-85.51
49,590627906.9767442,-86.09
50,590661129.5681063,-83.6
51,590694352.1594684,-84.78
52,590727574.7508305,-84.91
53,590760797.3421926,-86.51
54,590794019.9335548,-85.01
55,590827242.5249169,-85.81
56,590860465.1162791,-85.34
57,590893687.7076412,-84.82
58,590926910.2990034,-83.39
59,590960132.8903655,-84.32
60,590993355.4817276,-84.22
61,591026578.0730897,-83.64
62,591059800.6644518,-83.64
63,591093023.255814,-84.51
64,591126245.8471761,-82.72
65,591159468.4385382,-83.36
66,591192691.0299003,-84.35
67,591225913.6212624,-83.41
68,591259136.2126245,-85.07
69,591292358.8039867,-83.39
70,591325581.3953488,-84.35
71,591358803.9867109,-83.75
72,591392026.5780731,-84.88
73,591425249.1694353,-83.67
74,591458471.7607974,-83.7
75,591491694.3521595,-83.82
76,591524916.9435216,-83.9
77,591558139.5348837,-83.43
78,591591362.1262459,-83.82
79,591624584.717608,-83.19
80,591657807.3089701,-83.08
81,591691029.9003322,-82.98
82,591724252.4916943,-83.84
83,591757475.0830564,-83.77
84,591790697.6744186,-82.61
85,591823920.2657807,-82.96
86,591857142.8571428,-84.18
87,591890365.4485049,-81.68
88,591923588.0398672,-83.12
89,591956810.6312293,-83.19
90,591990033.2225914,-83.15
91,592023255.8139535,-81.87
92,592056478.4053156,-83.12
93,592089700.9966778,-84.21
94,592122923.5880399,-82.35
95,592156146.179402,-82.01
96,592189368.7707641,-82.82
97,592222591.3621262,-83.43
98,592255813.9534883,-82.92
99,592289036.5448505,-81.88
100,592322259.1362126,-82.79
101,592355481.7275747,-82.5
102,592388704.3189368,-81.27
103,592421926.9102991,-82.14
104,592455149.5016612,-83.47
105,592488372.0930233,-81.63
106,592521594.6843854,-81.06
107,592554817.2757475,-81.76
108,592588039.8671097,-82.09
109,592621262.4584718,-81.52
110,592654485.0498339,-82.62
111,592687707.641196,-83.52
112,592720930.2325581,-82.67
113,592754152.8239202,-83.3
114,592787375.4152824,-82.46
115,592820598.0066445,-82.86
116,592853820.5980066,-83.34
117,592887043.1893687,-81.48
118,592920265.7807308,-81.74
119,592953488.3720931,-83.53
120,592986710.9634552,-84.07
121,593019933.5548173,-82.79
122,593053156.1461794,-83.57
123,593086378.7375416,-82.67
124,593119601.3289037,-82.79
125,593152823.9202658,-83.95
126,593186046.5116279,-82.96
127,593219269.10299,-83.22
128,593252491.6943521,-82.67
129,593285714.2857143,-84.69
130,593318936.8770764,-83.59
131,593352159.4684385,-83.48
132,593385382.0598006,-85.99
133,593418604.6511627,-84.6
134,593451827.2425249,-83.32
135,593485049.8338871,-84.65
136,593518272.4252492,-85.27
137,593551495.0166113,-84.23
138,593584717.6079735,-83.38
139,593617940.1993356,-83.11
140,593651162.7906977,-83.84
141,593684385.3820598,-84.83
142,593717607.9734219,-82.92
143,593750830.564784,-81.99
144,593784053.1561462,-82.3
145,593817275.7475083,-82.31
146,593850498.3388704,-82.43
