i, frequency, magnitude
0,589000000.0,-99.28
1,589033222.5913621,-99.77
2,589066445.1827242,-100.22
3,589099667.7740864,-99.83
4,589132890.3654485,-98.07
5,589166112.9568106,-98.14
6,589199335.5481727,-99.91
7,589232558.1395348,-101.33
8,589265780.7308971,-99.05
9,589299003.3222592,-98.82
10,589332225.9136213,-99.2
11,589365448.5049834,-98.36
12,589398671.0963455,-98.68
13,589431893.6877077,-100.03
14,589465116.2790698,-99.35
15,589498338.8704319,-99.96
16,589531561.461794,-99.5
17,589564784.0531561,-98.52
18,589598006.6445183,-99.01
19,589631229.2358804,-98.62
20,589664451.8272425,-100.95
21,589697674.4186046,-100.89
22,589730897.0099667,-99.33
23,589764119.6013288,-98.92
24,589797342.1926911,-100.44
25,589830564.7840532,-99.47
26,589863787.3754153,-99.74
27,589897009.9667774,-99.15
28,589930232.5581396,-101.11
29,589963455.1495017,-98.83
30,589996677.7408638,-99.61
31,590029900.3322259,-101.57
32,590063122.923588,-98.95
33,590096345.5149502,-100.79
34,590129568.1063123,-99.33
35,590162790.6976744,-98.7
36,590196013.2890365,-87.14
37,590229235.8803986,-86.25
38,590262458.4717607,-88.31
39,590295681.0631229,-88.05
40,590328903.6544851,-86.92
41,590362126.2458472,-87.38
42,590395348.8372093,-86.54
43,590428571.4285715,-88.49
44,590461794.0199336,-88.18
45,590495016.6112957,-86.86
46,590528239.2026578,-86.24
47,590561461.7940199,-87.02
48,590594684.385382,-86.14
49,590627906.9767442,-85.79
50,590661129.5681063,-86.19
51,590694352.1594684,-85.93
52,590727574.7508305,-85.74
53,590760797.3421926,-86.51
54,590794019.9335548,-86.18
55,590827242.5249169,-85.71
56,590860465.1162791,-84.74
57,590893687.7076412,-84.67
58,590926910.2990034,-84.55
59,590960132.8903655,-85.41
60,590993355.4817276,-84.56
61,591026578.0730897,-86.2
62,591059800.6644518,-84.9
63,591093023.255814,-84.92
64,591126245.8471761,-84.57
65,591159468.4385382,-84.55
66,591192691.0299003,-84.59
67,591225913.6212624,-85.72
68,591259136.2126245,-85.34
69,591292358.8039867,-84.45
70,591325581.3953488,-84.8
71,591358803.9867109,-83.67
72,591392026.5780731,-84.67
73,591425249.1694353,-85.8
74,591458471.7607974,-86.11
75,591491694.3521595,-85.39
76,591524916.9435216,-85.56
77,591558139.5348837,-86.15
78,591591362.1262459,-84.51
79,591624584.717608,-84.5
80,591657807.3089701,-84.11
81,591691029.9003322,-82.3
82,591724252.4916943,-84.18
83,591757475.0830564,-84.48
84,591790697.6744186,-85.68
85,591823920.2657807,-83.18
86,591857142.8571428,-83.12
87,591890365.4485049,-84.71
88,591923588.0398672,-84.47
89,591956810.6312293,-83.61
90,591990033.2225914,-82.39
91,592023255.8139535,-82.85
92,592056478.4053156,-82.27
93,592089700.9966778,-83.13
94,592122923.5880399,-82.76
95,592156146.179402,-82.34
96,592189368.7707641,-83.38
97,592222591.3621262,-83.29
98,592255813.9534883,-82.09
99,592289036.5448505,-83.41
100,592322259.1362126,-83.13
101,592355481.7275747,-82.19
102,592388704.3189368,-81.95
103,592421926.9102991,-83.35
104,592455149.5016612,-82.12
105,592488372.0930233,-82.68
106,592521594.6843854,-82.7
107,592554817.2757475,-82.87
108,592588039.8671097,-82.31
109,592621262.4584718,-82.59
110,592654485.0498339,-82.27
111,592687707.641196,-83.26
112,592720930.2325581,-82.39
113,592754152.8239202,-84.15
114,592787375.4152824,-82.61
115,592820598.0066445,-84.99
116,592853820.5980066,-83.08
117,592887043.1893687,-82.6
118,592920265.7807308,-83.25
119,592953488.3720931,-83.5
120,592986710.9634552,-84.71
121,593019933.5548173,-83.94
122,593053156.1461794,-82.91
123,593086378.7375416,-83.76
124,593119601.3289037,-84.33
125,593152823.9202658,-83.48
126,593186046.5116279,-83.61
127,593219269.10299,-84.58
128,593252491.6943521,-84.31
129,593285714.2857143,-83.53
130,593318936.8770764,-85.75
131,593352159.4684385,-84.19
132,593385382.0598006,-84.77
133,593418604.6511627,-85.39
134,593451827.2425249,-83.45
135,593485049.8338871,-84.29
136,593518272.4252492,-83.91
137,593551495.0166113,-83.24
138,593584717.6079735,-83.65
