i, frequency, magnitude
0,589000000.0,-99.12
1,589033222.5913621,-101.19
2,589066445.1827242,-100.42
3,589099667.7740864,-100.69
4,589132890.3654485,-99.9
5,589166112.9568106,-99.38
6,589199335.5481727,-100.58
7,589232558.1395348,-99.28
8,589265780.7308971,-99.36
9,589299003.3222592,-98.45
10,589332225.9136213,-99.21
11,589365448.5049834,-99.9
12,589398671.0963455,-97.57
13,589431893.6877077,-99.46
14,589465116.2790698,-99.06
15,589498338.8704319,-99.62
16,589531561.461794,-100.04
17,589564784.0531561,-100.29
18,589598006.6445183,-99.03
19,589631229.2358804,-100.03
20,589664451.8272425,-101.5
21,589697674.4186046,-99.69
22,589730897.0099667,-99.84
23,589764119.6013288,-99.92
24,589797342.1926911,-99.76
25,589830564.7840532,-99.88
26,589863787.3754153,-100.17
27,589897009.9667774,-100.86
28,589930232.5581396,-100.31
29,589963455.1495017,-100.35
30,589996677.7408638,-100.22
31,590029900.3322259,-100.67
32,590063122.923588,-99.29
33,590096345.5149502,-99.54
34,590129568.1063123,-100.92
35,590162790.6976744,-97.79
36,590196013.2890365,-85.78
37,590229235.8803986,-84.27
38,590262458.4717607,-85.21
39,590295681.0631229,-85.34
40,590328903.6544851,-85.37
41,590362126.2458472,-84.74
42,590395348.8372093,-84.81
43,590428571.4285715,-85.52
44,590461794.0199336,-85.12
45,590495016.6112957,-85.87
46,590528239.2026578,-85.1
47,590561461.7940199,-86.03
48,590594684.385382,-84.45
49,590627906.9767442,-85.82
50,590661129.5681063,-84.14
51,590694352.1594684,-83.72
52,590727574.7508305,-84.69
53,590760797.3421926,-85.25
54,590794019.9335548,-83.73
55,590827242.5249169,-84.37
56,590860465.1162791,-83.74
57,590893687.7076412,-84.42
58,590926910.2990034,-83.46
59,590960132.8903655,-84.56
60,590993355.4817276,-83.63
61,591026578.0730897,-83.58
62,591059800.6644518,-83.5
63,591093023.255814,-84.65
64,591126245.8471761,-86.98
65,591159468.4385382,-82.92
66,591192691.0299003,-83.03
67,591225913.6212624,-83.52
68,591259136.2126245,-83.53
69,591292358.8039867,-84.59
70,591325581.3953488,-82.9
71,591358803.9867109,-84.15
72,591392026.5780731,-82.58
73,591425249.1694353,-83.17
74,591458471.7607974,-84.08
75,591491694.3521595,-84.13
76,591524916.9435216,-84.86
77,591558139.5348837,-83.25
78,591591362.1262459,-83.86
79,591624584.717608,-82.85
80,591657807.3089701,-83.12
81,591691029.9003322,-83.03
82,591724252.4916943,-83.65
83,591757475.0830564,-83.17
84,591790697.6744186,-83.23
85,591823920.2657807,-83.63
86,591857142.8571428,-82.99
87,591890365.4485049,-82.73
88,591923588.0398672,-83.59
89,591956810.6312293,-84.31
90,591990033.2225914,-82.28
91,592023255.8139535,-83.8
92,592056478.4053156,-84.06
93,592089700.9966778,-82.35
94,592122923.5880399,-83.44
95,592156146.179402,-82.95
96,592189368.7707641,-81.74
97,592222591.3621262,-82.09
98,592255813.9534883,-82.48
99,592289036.5448505,-82.86
100,592322259.1362126,-82.19
101,592355481.7275747,-81.75
102,592388704.3189368,-81.81
103,592421926.9102991,-82.33
104,592455149.5016612,-81.95
105,592488372.0930233,-82.41
106,592521594.6843854,-81.32
107,592554817.2757475,-82.93
108,592588039.8671097,-82.1
109,592621262.4584718,-81.84
110,592654485.0498339,-83.3
111,592687707.641196,-81.76
112,592720930.2325581,-82.21
113,592754152.8239202,-82.2
114,592787375.4152824,-83.35
115,592820598.0066445,-81.99
116,592853820.5980066,-82.96
117,592887043.1893687,-82.58
118,592920265.7807308,-82.05
119,592953488.3720931,-84.79
120,592986710.9634552,-82.81
121,593019933.5548173,-82.07
122,593053156.1461794,-82.24
123,593086378.7375416,-83.58
124,593119601.3289037,-82.51
125,593152823.9202658,-83.02
126,593186046.5116279,-84.25
127,593219269.10299,-83.48
128,593252491.6943521,-82.67
129,593285714.2857143,-84.97
130,593318936.8770764,-82.99
131,593352159.4684385,-83.45
133,593418604.6511627,-84.33
132,593385382.0598006,-84.81
134,593451827.2425249,-84.99
135,593485049.8338871,-84.46
136,593518272.4252492,-85.6
138,593584717.6079735,-84.62
137,593551495.0166113,-84.53
139,593617940.1993356,-84.0
140,593651162.7906977,-84.27
142,593717607.9734219,-84.35
144,593784053.1561462,-81.57
141,593684385.3820598,-85.05
143,593750830.564784,-81.88
145,593817275.7475083,-81.35
146,593850498.3388704,-83.55
147,593883720.9302325,-82.91
148,593916943.5215946,-81.97
149,593950166.1129568,-81.64
150,593983388.7043189,-81.67
151,594016611.2956811,-82.18
152,594049833.8870432,-81.37
153,594083056.4784054,-81.55
154,594116279.0697675,-81.8
155,594149501.6611296,-81.6
156,594182724.2524917,-81.02
157,594215946.8438538,-80.74
158,594249169.435216,-80.95
159,594282392.0265781,-80.69
160,594315614.6179402,-81.49
161,594348837.2093023,-80.92
162,594382059.8006644,-80.14
163,594415282.3920265,-80.13
164,594448504.9833887,-81.78
165,594481727.5747508,-81.54
166,594514950.1661129,-81.38
167,594548172.7574751,-80.61
168,594581395.3488373,-79.72
169,594614617.9401994,-80.52
170,594647840.5315615,-79.86
171,594681063.1229236,-81.57
172,594714285.7142857,-80.72
173,594747508.3056479,-79.27
174,594780730.89701,-79.53
175,594813953.4883721,-80.18
176,594847176.0797342,-80.24
177,594880398.6710963,-81.56
178,594913621.2624584,-80.46
179,594946843.8538206,-79.16
180,594980066.4451827,-81.99
181,595013289.0365448,-81.9
182,595046511.6279069,-80.53
183,595079734.2192692,-80.03
184,595112956.8106313,-79.98
185,595146179.4019934,-81.01
186,595179401.9933555,-79.06
187,595212624.5847176,-80.32
188,595245847.1760798,-80.8
189,595279069.7674419,-80.25
190,595312292.358804,-80.87
191,595345514.9501661,-80.57
192,595378737.5415282,-82.07
193,595411960.1328903,-80.65
194,595445182.7242525,-79.18
195,595478405.3156146,-80.67
196,595511627.9069767,-80.92
197,595544850.4983388,-80.83
198,595578073.0897009,-80.31
199,595611295.6810632,-81.63
200,595644518.2724253,-82.6
201,595677740.8637874,-80.42
202,595710963.4551495,-79.72
203,595744186.0465117,-80.82
204,595777408.6378738,-80.51
205,595810631.2292359,-79.44
206,595843853.820598,-79.64
207,595877076.4119601,-80.55
208,595910299.0033222,-80.89
209,595943521.5946844,-80.51
210,595976744.1860465,-80.37
211,596009966.7774086,-81.34
212,596043189.3687707,-80.59
213,596076411.9601328,-80.0
214,596109634.5514951,-80.02
215,596142857.1428572,-79.8
216,596176079.7342193,-79.97
217,596209302.3255814,-79.09
218,596242524.9169436,-78.57
219,596275747.5083057,-78.87
220,596308970.0996678,-79.76
221,596342192.6910299,-78.47
222,596375415.282392,-79.66
223,596408637.8737541,-80.52
224,596441860.4651163,-79.27
225,596475083.0564784,-79.1
226,596508305.6478405,-79.3
227,596541528.2392026,-78.03
228,596574750.8305647,-79.07
229,596607973.4219269,-80.09
230,596641196.0132891,-80.51
231,596674418.6046512,-79.47
232,596707641.1960133,-80.43
233,596740863.7873755,-80.51
234,596774086.3787376,-79.46
235,596807308.9700997,-80.24
236,596840531.5614618,-80.14
237,596873754.1528239,-79.89
238,596906976.744186,-81.0
239,596940199.3355482,-80.66
240,596973421.9269103,-79.3
241,597006644.5182724,-80.9
242,597039867.1096345,-81.74
243,597073089.7009966,-80.58
244,597106312.2923588,-79.79
245,597139534.8837209,-79.38
246,597172757.4750831,-79.77
247,597205980.0664452,-80.76
248,597239202.6578074,-79.71
249,597272425.2491695,-80.15
250,597305647.8405316,-79.34
251,597338870.4318937,-80.06
252,597372093.0232558,-80.31
253,597405315.614618,-79.51
254,597438538.2059801,-77.49
255,597471760.7973422,-81.23
256,597504983.3887043,-81.1
257,597538205.9800664,-80.3
258,597571428.5714285,-80.5
259,597604651.1627907,-79.16
260,597637873.7541528,-81.5
261,597671096.3455149,-79.3
262,597704318.9368771,-79.13
263,597737541.5282393,-78.89
264,597770764.1196014,-78.99
265,597803986.7109635,-85.49
266,597837209.3023256,-99.07
267,597870431.8936877,-98.78
268,597903654.4850498,-100.3
269,597936877.076412,-99.01
270,597970099.6677741,-97.04
271,598003322.2591362,-98.96
272,598036544.8504983,-101.06
273,598069767.4418604,-99.84
274,598102990.0332226,-99.71
275,598136212.6245847,-98.63
276,598169435.2159468,-99.73
277,598202657.8073089,-97.06
278,598235880.3986712,-99.8
279,598269102.9900333,-100.19
280,598302325.5813954,-100.36
281,598335548.1727575,-99.12
282,598368770.7641196,-98.92
283,598401993.3554817,-98.55
284,598435215.9468439,-99.37
285,598468438.538206,-99.5
286,598501661.1295681,-99.53
287,598534883.7209302,-99.87
288,598568106.3122923,-98.57
289,598601328.9036545,-99.24
290,598634551.4950166,-98.85
291,598667774.0863787,-97.99
292,598700996.6777408,-99.15
293,598734219.269103,-100.52
294,598767441.8604652,-99.49
295,598800664.4518273,-101.48
296,598833887.0431894,-98.51
297,598867109.6345515,-99.69
298,598900332.2259136,-98.52
299,598933554.8172758,-99.58
