i, frequency, magnitude
0,589000000.0,-98.59
1,589033222.5913621,-98.13
2,589066445.1827242,-100.17
3,589099667.7740864,-97.81
4,589132890.3654485,-98.68
5,589166112.9568106,-99.37
6,589199335.5481727,-99.26
7,589232558.1395348,-98.66
8,589265780.7308971,-99.11
9,589299003.3222592,-100.24
10,589332225.9136213,-100.6
11,589365448.5049834,-99.24
12,589398671.0963455,-102.14
13,589431893.6877077,-98.65
14,589465116.2790698,-100.7
15,589498338.8704319,-99.03
16,589531561.461794,-98.56
17,589564784.0531561,-98.74
18,589598006.6445183,-99.06
19,589631229.2358804,-99.59
20,589664451.8272425,-100.94
21,589697674.4186046,-98.72
22,589730897.0099667,-97.94
23,589764119.6013288,-99.67
24,589797342.1926911,-100.61
25,589830564.7840532,-98.68
26,589863787.3754153,-101.82
27,589897009.9667774,-99.77
28,589930232.5581396,-100.58
29,589963455.1495017,-100.65
30,589996677.7408638,-99.6
31,590029900.3322259,-100.52
32,590063122.923588,-98.8
33,590096345.5149502,-99.55
34,590129568.1063123,-98.9
35,590162790.6976744,-97.85
36,590196013.2890365,-87.1
37,590229235.8803986,-85.09
38,590262458.4717607,-85.2
39,590295681.0631229,-85.25
40,590328903.6544851,-84.93
41,590362126.2458472,-86.01
42,590395348.8372093,-85.75
43,590428571.4285715,-84.19
44,590461794.0199336,-84.46
45,590495016.6112957,-84.2
46,590528239.2026578,-85.96
47,590561461.7940199,-85.87
48,590594684.385382,-84.52
49,590627906.9767442,-85.17
50,590661129.5681063,-85.25
51,590694352.1594684,-84.8
52,590727574.7508305,-83.62
53,590760797.3421926,-84.75
54,590794019.9335548,-84.69
55,590827242.5249169,-84.55
56,590860465.1162791,-84.6
57,590893687.7076412,-84.57
58,590926910.2990034,-83.98
59,590960132.8903655,-84.92
60,590993355.4817276,-84.11
61,591026578.0730897,-83.02
62,591059800.6644518,-84.03
63,591093023.255814,-85.57
64,591126245.8471761,-84.35
65,591159468.4385382,-83.65
66,591192691.0299003,-83.77
67,591225913.6212624,-83.34
68,591259136.2126245,-83.51
69,591292358.8039867,-83.33
70,591325581.3953488,-83.04
71,591358803.9867109,-83.66
72,591392026.5780731,-83.78
73,591425249.1694353,-82.94
74,591458471.7607974,-84.18
75,591491694.3521595,-84.01
76,591524916.9435216,-84.18
77,591558139.5348837,-83.07
78,591591362.1262459,-82.77
79,591624584.717608,-82.42
80,591657807.3089701,-84.29
81,591691029.9003322,-83.83
82,591724252.4916943,-82.16
83,591757475.0830564,-83.61
84,591790697.6744186,-83.24
85,591823920.2657807,-84.64
86,591857142.8571428,-83.96
87,591890365.4485049,-82.2
88,591923588.0398672,-82.9
89,591956810.6312293,-83.55
90,591990033.2225914,-81.88
91,592023255.8139535,-82.84
92,592056478.4053156,-83.46
93,592089700.9966778,-82.24
94,592122923.5880399,-82.82
95,592156146.179402,-82.57
96,592189368.7707641,-83.4
97,592222591.3621262,-82.71
98,592255813.9534883,-81.61
99,592289036.5448505,-83.46
100,592322259.1362126,-81.04
101,592355481.7275747,-82.01
102,592388704.3189368,-81.71
103,592421926.9102991,-82.51
104,592455149.5016612,-82.03
105,592488372.0930233,-82.86
106,592521594.6843854,-83.54
107,592554817.2757475,-81.86
108,592588039.8671097,-83.71
109,592621262.4584718,-82.04
110,592654485.0498339,-81.93
111,592687707.641196,-81.43
112,592720930.2325581,-84.07
113,592754152.8239202,-81.53
114,592787375.4152824,-82.43
115,592820598.0066445,-82.85
116,592853820.5980066,-82.03
117,592887043.1893687,-82.9
118,592920265.7807308,-83.25
119,592953488.3720931,-82.77
120,592986710.9634552,-81.81
121,593019933.5548173,-84.01
122,593053156.1461794,-82.96
123,593086378.7375416,-82.03
124,593119601.3289037,-82.56
125,593152823.9202658,-82.53
126,593186046.5116279,-83.62
127,593219269.10299,-83.31
128,593252491.6943521,-83.26
129,593285714.2857143,-83.99
130,593318936.8770764,-82.45
131,593352159.4684385,-83.46
132,593385382.0598006,-84.77
133,593418604.6511627,-84.19
134,593451827.2425249,-84.91
135,593485049.8338871,-84.04
136,593518272.4252492,-85.01
137,593551495.0166113,-85.32
138,593584717.6079735,-83.55
139,593617940.1993356,-82.75
140,593651162.7906977,-84.72
141,593684385.3820598,-84.62
142,593717607.9734219,-82.78
143,593750830.564784,-83.09
144,593784053.1561462,-82.79
145,593817275.7475083,-81.6
