i, frequency, magnitude
0,589000000.0,-100.43
1,589033222.5913621,-99.24
2,589066445.1827242,-98.75
3,589099667.7740864,-98.02
4,589132890.3654485,-100.21
5,589166112.9568106,-100.35
6,589199335.5481727,-99.67
7,589232558.1395348,-99.56
8,589265780.7308971,-100.17
9,589299003.3222592,-99.9
10,589332225.9136213,-98.9
11,589365448.5049834,-98.44
12,589398671.0963455,-99.34
13,589431893.6877077,-100.36
14,589465116.2790698,-98.1
15,589498338.8704319,-100.95
16,589531561.461794,-99.35
17,589564784.0531561,-100.45
18,589598006.6445183,-98.62
19,589631229.2358804,-99.83
20,589664451.8272425,-99.94
21,589697674.4186046,-99.31
22,589730897.0099667,-100.57
23,589764119.6013288,-98.79
24,589797342.1926911,-99.08
25,589830564.7840532,-99.12
26,589863787.3754153,-98.92
27,589897009.9667774,-99.85
28,589930232.5581396,-99.55
29,589963455.1495017,-99.64
30,589996677.7408638,-100.63
31,590029900.3322259,-98.54
32,590063122.923588,-99.2
33,590096345.5149502,-100.61
34,590129568.1063123,-98.64
35,590162790.6976744,-98.84
36,590196013.2890365,-85.22
37,590229235.8803986,-85.59
38,590262458.4717607,-84.59
39,590295681.0631229,-85.49
40,590328903.6544851,-86.11
41,590362126.2458472,-83.73
42,590395348.8372093,-85.53
43,590428571.4285715,-85.97
44,590461794.0199336,-85.98
45,590495016.6112957,-84.03
46,590528239.2026578,-83.26
47,590561461.7940199,-84.67
48,590594684.385382,-85.17
49,590627906.9767442,-83.83
50,590661129.5681063,-84.5
51,590694352.1594684,-83.59
52,590727574.7508305,-83.25
53,590760797.3421926,-83.23
54,590794019.9335548,-83.3
55,590827242.5249169,-85.13
56,590860465.1162791,-84.23
57,590893687.7076412,-83.25
58,590926910.2990034,-84.09
59,590960132.8903655,-84.41
60,590993355.4817276,-83.98
61,591026578.0730897,-83.4
62,591059800.6644518,-83.38
63,591093023.255814,-84.7
64,591126245.8471761,-84.29
65,591159468.4385382,-83.54
66,591192691.0299003,-84.05
67,591225913.6212624,-83.06
68,591259136.2126245,-84.69
69,591292358.8039867,-84.12
70,591325581.3953488,-83.0
71,591358803.9867109,-83.22
72,591392026.5780731,-83.86
73,591425249.1694353,-83.79
74,591458471.7607974,-84.51
75,591491694.3521595,-84.36
76,591524916.9435216,-84.91
77,591558139.5348837,-84.17
78,591591362.1262459,-82.4
79,591624584.717608,-84.03
80,591657807.3089701,-83.16
81,591691029.9003322,-84.03
82,591724252.4916943,-83.73
83,591757475.0830564,-82.94
84,591790697.6744186,-83.0
85,591823920.2657807,-82.9
86,591857142.8571428,-82.23
87,591890365.4485049,-82.98
88,591923588.0398672,-82.76
89,591956810.6312293,-82.62
90,591990033.2225914,-83.6
91,592023255.8139535,-82.87
92,592056478.4053156,-82.46
93,592089700.9966778,-83.42
94,592122923.5880399,-81.91
95,592156146.179402,-82.41
96,592189368.7707641,-82.97
97,592222591.3621262,-81.22
98,592255813.9534883,-81.68
99,592289036.5448505,-82.69
100,592322259.1362126,-81.74
101,592355481.7275747,-82.71
102,592388704.3189368,-81.21
103,592421926.9102991,-83.88
104,592455149.5016612,-81.65
105,592488372.0930233,-82.51
106,592521594.6843854,-82.17
107,592554817.2757475,-82.85
108,592588039.8671097,-82.17
109,592621262.4584718,-80.74
110,592654485.0498339,-81.73
111,592687707.641196,-82.37
112,592720930.2325581,-81.91
113,592754152.8239202,-83.05
114,592787375.4152824,-82.09
115,592820598.0066445,-83.2
116,592853820.5980066,-82.69
117,592887043.1893687,-82.62
