i, frequency, magnitude
0,589000000.0,-99.09
1,589033222.5913621,-99.52
2,589066445.1827242,-101.33
3,589099667.7740864,-99.48
4,589132890.3654485,-99.76
5,589166112.9568106,-101.39
6,589199335.5481727,-99.82
7,589232558.1395348,-99.34
8,589265780.7308971,-98.57
9,589299003.3222592,-98.91
10,589332225.9136213,-98.95
11,589365448.5049834,-99.13
12,589398671.0963455,-98.94
13,589431893.6877077,-97.76
14,589465116.2790698,-100.07
15,589498338.8704319,-101.3
16,589531561.461794,-100.25
17,589564784.0531561,-99.96
18,589598006.6445183,-100.58
19,589631229.2358804,-100.25
20,589664451.8272425,-97.95
21,589697674.4186046,-98.96
22,589730897.0099667,-100.75
23,589764119.6013288,-99.77
24,589797342.1926911,-100.05
25,589830564.7840532,-100.08
26,589863787.3754153,-100.52
27,589897009.9667774,-98.07
28,589930232.5581396,-100.3
29,589963455.1495017,-100.3
30,589996677.7408638,-99.93
31,590029900.3322259,-97.84
32,590063122.923588,-100.81
33,590096345.5149502,-99.36
34,590129568.1063123,-100.97
35,590162790.6976744,-97.82
36,590196013.2890365,-85.61
37,590229235.8803986,-85.18
38,590262458.4717607,-85.56
39,590295681.0631229,-86.13
40,590328903.6544851,-85.03
41,590362126.2458472,-85.9
42,590395348.8372093,-85.43
43,590428571.4285715,-86.34
44,590461794.0199336,-85.8
45,590495016.6112957,-84.98
46,590528239.2026578,-84.87
47,590561461.7940199,-85.15
48,590594684.385382,-85.3
49,590627906.9767442,-83.05
50,590661129.5681063,-83.95
51,590694352.1594684,-83.24
52,590727574.7508305,-83.76
53,590760797.3421926,-84.05
54,590794019.9335548,-84.32
55,590827242.5249169,-83.69
56,590860465.1162791,-85.69
57,590893687.7076412,-84.0
58,590926910.2990034,-83.38
59,590960132.8903655,-83.96
60,590993355.4817276,-84.49
61,591026578.0730897,-83.7
62,591059800.6644518,-84.04
63,591093023.255814,-83.39
64,591126245.8471761,-84.56
65,591159468.4385382,-83.99
66,591192691.0299003,-83.33
67,591225913.6212624,-84.11
68,591259136.2126245,-83.93
69,591292358.8039867,-82.39
70,591325581.3953488,-84.79
71,591358803.9867109,-82.67
72,591392026.5780731,-84.5
73,591425249.1694353,-83.2
74,591458471.7607974,-82.47
75,591491694.3521595,-83.14
76,591524916.9435216,-83.74
77,591558139.5348837,-83.97
78,591591362.1262459,-82.22
79,591624584.717608,-83.1
80,591657807.3089701,-82.06
81,591691029.9003322,-83.34
82,591724252.4916943,-82.0
83,591757475.0830564,-83.79
84,591790697.6744186,-83.36
85,591823920.2657807,-84.24
86,591857142.8571428,-82.68
87,591890365.4485049,-82.28
88,591923588.0398672,-82.6
89,591956810.6312293,-83.06
90,591990033.2225914,-82.28
91,592023255.8139535,-82.31
92,592056478.4053156,-82.43
93,592089700.9966778,-83.41
94,592122923.5880399,-82.53
95,592156146.179402,-82.58
96,592189368.7707641,-81.77
97,592222591.3621262,-81.23
98,592255813.9534883,-81.68
99,592289036.5448505,-81.47
100,592322259.1362126,-81.7
101,592355481.7275747,-81.38
102,592388704.3189368,-81.41
103,592421926.9102991,-82.41
104,592455149.5016612,-81.41
105,592488372.0930233,-82.68
106,592521594.6843854,-82.1
107,592554817.2757475,-80.83
108,592588039.8671097,-81.61
109,592621262.4584718,-81.63
110,592654485.0498339,-82.59
111,592687707.641196,-80.97
112,592720930.2325581,-80.95
113,592754152.8239202,-82.54
114,592787375.4152824,-81.11
115,592820598.0066445,-83.29
116,592853820.5980066,-80.73
117,592887043.1893687,-81.44
118,592920265.7807308,-83.27
119,592953488.3720931,-82.08
120,592986710.9634552,-82.74
121,593019933.5548173,-81.82
122,593053156.1461794,-82.62
123,593086378.7375416,-82.29
124,593119601.3289037,-82.41
125,593152823.9202658,-83.44
126,593186046.5116279,-84.14
127,593219269.10299,-83.6
128,593252491.6943521,-82.57
129,593285714.2857143,-83.18
130,593318936.8770764,-83.02
131,593352159.4684385,-83.17
132,593385382.0598006,-83.63
133,593418604.6511627,-83.8
134,593451827.2425249,-83.31
135,593485049.8338871,-85.14
136,593518272.4252492,-85.23
137,593551495.0166113,-83.28
138,593584717.6079735,-83.11
139,593617940.1993356,-82.83
140,593651162.7906977,-82.04
141,593684385.3820598,-83.6
142,593717607.9734219,-81.65
143,593750830.564784,-81.34
144,593784053.1561462,-83.27
145,593817275.7475083,-81.23
146,593850498.3388704,-82.26
147,593883720.9302325,-82.05
148,593916943.5215946,-80.31
149,593950166.1129568,-81.3
150,593983388.7043189,-80.24
151,594016611.2956811,-80.42
152,594049833.8870432,-81.31
153,594083056.4784054,-79.5
154,594116279.0697675,-80.9
155,594149501.6611296,-79.35
156,594182724.2524917,-80.58
157,594215946.8438538,-80.36
158,594249169.435216,-82.39
159,594282392.0265781,-79.6
160,594315614.6179402,-81.4
161,594348837.2093023,-80.17
162,594382059.8006644,-80.68
163,594415282.3920265,-80.41
164,594448504.9833887,-80.47
165,594481727.5747508,-79.83
166,594514950.1661129,-80.21
167,594548172.7574751,-79.48
168,594581395.3488373,-78.92
169,594614617.9401994,-78.97
170,594647840.5315615,-80.84
171,594681063.1229236,-80.59
172,594714285.7142857,-80.39
173,594747508.3056479,-80.61
174,594780730.89701,-80.51
175,594813953.4883721,-81.14
176,594847176.0797342,-79.53
177,594880398.6710963,-79.59
178,594913621.2624584,-80.53
179,594946843.8538206,-79.4
180,594980066.4451827,-80.44
181,595013289.0365448,-78.76
182,595046511.6279069,-82.28
183,595079734.2192692,-79.34
184,595112956.8106313,-79.83
185,595146179.4019934,-80.22
186,595179401.9933555,-79.35
187,595212624.5847176,-79.26
188,595245847.1760798,-79.26
189,595279069.7674419,-80.29
190,595312292.358804,-80.6
191,595345514.9501661,-80.1
192,595378737.5415282,-80.32
193,595411960.1328903,-79.19
194,595445182.7242525,-79.57
195,595478405.3156146,-80.61
