i, frequency, magnitude
0,925000000.0,-84.42
1,925116279.0697675,-84.42
2,925232558.1395348,-84.38
3,925348837.2093023,-84.5
4,925465116.2790698,-84.61
5,925581395.3488373,-84.37
6,925697674.4186046,-84.52
7,925813953.4883721,-84.38
8,925930232.5581396,-83.59
9,926046511.6279069,-79.9
10,926162790.6976744,-74.59
11,926279069.7674419,-71.57
12,926395348.8372093,-71.31
13,926511627.9069767,-73.97
14,926627906.9767442,-78.97
15,926744186.0465117,-82.38
16,926860465.1162791,-81.93
17,926976744.1860465,-80.71
18,927093023.255814,-79.78
19,927209302.3255814,-80.46
20,927325581.3953488,-82.03
21,927441860.4651163,-82.86
22,927558139.5348837,-82.23
23,927674418.6046512,-79.5
24,927790697.6744186,-75.96
25,927906976.744186,-73.81
26,928023255.8139535,-77.64
27,928139534.8837209,-75.51
28,928255813.9534883,-80.76
29,928372093.0232558,-84.15
30,928488372.0930233,-84.22
31,928604651.1627907,-84.33
32,928720930.2325581,-83.25
33,928837209.3023256,-80.64
34,928953488.3720931,-81.33
35,929069767.4418604,-82.39
36,929186046.5116279,-82.72
38,929418604.6511627,-83.19
39,929534883.7209302,-83.67
40,929651162.7906977,-82.77
41,929767441.8604652,-82.61
42,929883720.9302325,-83.6
43,930000000.0,-84.3
44,930116279.0697675,-84.56
45,930232558.1395348,-84.26
46,930348837.2093023,-84.34
47,930465116.2790698,-84.2
48,930581395.3488373,-84.24
49,930697674.4186046,-84.45
50,930813953.4883721,-84.32
51,930930232.5581396,-84.32
52,931046511.6279069,-84.26
53,931162790.6976744,-84.33
37,929302325.5813954,-82.98
54,931279069.7674419,-84.13
55,931395348.8372093,-84.23
56,931511627.9069767,-84.27
57,931627906.9767442,-84.34
58,931744186.0465117,-84.22
59,931860465.1162791,-84.47
60,931976744.1860465,-84.22
61,932093023.255814,-84.28
62,932209302.3255814,-83.87
63,932325581.3953488,-81.73
64,932441860.4651163,-78.97
65,932558139.5348837,-77.85
66,932674418.6046512,-77.94
67,932790697.6744186,-76.78
68,932906976.744186,-74.92
69,933023255.8139535,-75.52
70,933139534.8837209,-78.48
71,933255813.9534883,-81.97
72,933372093.0232558,-83.5
73,933488372.0930233,-83.2
74,933604651.1627907,-83.5
75,933720930.2325581,-82.28
76,933837209.3023256,-84.08
77,933953488.3720931,-84.17
78,934069767.4418604,-84.17
79,934186046.5116279,-84.11
80,934302325.5813954,-81.51
81,934418604.6511627,-76.46
82,934534883.7209302,-75.12
83,934651162.7906977,-73.61
84,934767441.8604652,-69.16
85,934883720.9302325,-65.97
86,935000000.0,-65.79
87,935116279.0697675,-68.76
88,935232558.1395348,-73.71
89,935348837.2093023,-80.65
90,935465116.2790698,-81.9
91,935581395.3488373,-81.4
92,935697674.4186046,-80.9
93,935813953.4883721,-80.88
94,935930232.5581396,-81.05
95,936046511.6279069,-81.03
96,936162790.6976744,-80.85
97,936279069.7674419,-80.91
98,936395348.8372093,-80.76
99,936511627.9069767,-80.51
100,936627906.9767442,-79.99
101,936744186.0465117,-79.89
102,936860465.1162791,-79.72
103,936976744.1860465,-79.49
104,937093023.255814,-79.52
105,937209302.3255814,-79.37
106,937325581.3953488,-79.59
107,937441860.4651163,-79.83
108,937558139.5348837,-79.87
109,937674418.6046512,-80.34
110,937790697.6744186,-80.29
111,937906976.744186,-80.6
112,938023255.8139535,-80.23
113,938139534.8837209,-79.85
114,938255813.9534883,-79.48
115,938372093.0232558,-79.68
116,938488372.0930233,-79.59
