i, frequency, magnitude
0,925000000.0,-84.55
1,925116279.0697675,-84.53
2,925232558.1395348,-84.45
3,925348837.2093023,-84.4
4,925465116.2790698,-84.36
5,925581395.3488373,-84.32
6,925697674.4186046,-84.46
7,925813953.4883721,-84.55
8,925930232.5581396,-83.6
9,926046511.6279069,-79.67
10,926162790.6976744,-74.68
11,926279069.7674419,-71.36
12,926395348.8372093,-71.11
13,926511627.9069767,-73.72
14,926627906.9767442,-78.76
15,926744186.0465117,-82.5
16,926860465.1162791,-81.86
17,926976744.1860465,-80.44
18,927093023.255814,-79.3
19,927209302.3255814,-80.31
20,927325581.3953488,-82.32
21,927441860.4651163,-83.39
22,927558139.5348837,-83.05
23,927674418.6046512,-82.0
24,927790697.6744186,-79.2
25,927906976.744186,-77.94
26,928023255.8139535,-75.79
27,928139534.8837209,-80.13
28,928255813.9534883,-82.59
29,928372093.0232558,-83.84
30,928488372.0930233,-83.31
31,928604651.1627907,-82.5
32,928720930.2325581,-83.2
33,928837209.3023256,-83.96
34,928953488.3720931,-84.08
35,929069767.4418604,-84.1
36,929186046.5116279,-84.28
37,929302325.5813954,-82.93
38,929418604.6511627,-84.28
39,929534883.7209302,-82.68
40,929651162.7906977,-83.99
41,929767441.8604652,-84.14
42,929883720.9302325,-84.05
43,930000000.0,-84.48
44,930116279.0697675,-84.4
45,930232558.1395348,-84.23
46,930348837.2093023,-84.42
47,930465116.2790698,-84.54
48,930581395.3488373,-84.3
49,930697674.4186046,-84.52
50,930813953.4883721,-84.32
51,930930232.5581396,-84.46
52,931046511.6279069,-84.27
53,931162790.6976744,-84.4
54,931279069.7674419,-84.23
55,931395348.8372093,-84.18
56,931511627.9069767,-84.11
57,931627906.9767442,-84.12
58,931744186.0465117,-84.34
59,931860465.1162791,-84.27
60,931976744.1860465,-84.34
61,932093023.255814,-84.29
62,932209302.3255814,-83.93
63,932325581.3953488,-81.69
64,932441860.4651163,-78.92
65,932558139.5348837,-77.7
66,932674418.6046512,-77.79
67,932790697.6744186,-76.53
68,932906976.744186,-74.81
69,933023255.8139535,-75.25
70,933139534.8837209,-78.11
71,933255813.9534883,-82.08
72,933372093.0232558,-83.3
