i, frequency, magnitude
0,925000000.0,-84.49
1,925116279.0697675,-84.42
2,925232558.1395348,-84.49
3,925348837.2093023,-84.5
4,925465116.2790698,-84.43
5,925581395.3488373,-84.27
6,925697674.4186046,-84.37
7,925813953.4883721,-84.33
8,925930232.5581396,-83.63
9,926046511.6279069,-80.11
10,926162790.6976744,-74.95
11,926279069.7674419,-71.75
12,926395348.8372093,-71.52
13,926511627.9069767,-74.26
14,926627906.9767442,-78.93
15,926744186.0465117,-81.22
16,926860465.1162791,-79.65
17,926976744.1860465,-78.4
18,927093023.255814,-79.91
19,927209302.3255814,-80.56
20,927325581.3953488,-82.21
21,927441860.4651163,-83.15
22,927558139.5348837,-83.14
23,927674418.6046512,-83.05
24,927790697.6744186,-83.97
25,927906976.744186,-84.15
26,928023255.8139535,-84.37
27,928139534.8837209,-84.12
28,928255813.9534883,-84.2
29,928372093.0232558,-83.7
30,928488372.0930233,-82.71
31,928604651.1627907,-82.35
32,928720930.2325581,-82.86
33,928837209.3023256,-83.58
34,928953488.3720931,-84.04
35,929069767.4418604,-83.98
36,929186046.5116279,-83.93
37,929302325.5813954,-83.45
38,929418604.6511627,-82.34
39,929534883.7209302,-82.54
40,929651162.7906977,-84.21
41,929767441.8604652,-84.16
42,929883720.9302325,-84.23
43,930000000.0,-84.42
44,930116279.0697675,-84.46
45,930232558.1395348,-84.41
46,930348837.2093023,-84.29
47,930465116.2790698,-84.14
48,930581395.3488373,-84.44
49,930697674.4186046,-84.33
50,930813953.4883721,-84.37
51,930930232.5581396,-84.27
52,931046511.6279069,-84.38
53,931162790.6976744,-84.38
54,931279069.7674419,-84.3
55,931395348.8372093,-84.3
56,931511627.9069767,-84.2
57,931627906.9767442,-84.31
58,931744186.0465117,-84.33
59,931860465.1162791,-84.36
60,931976744.1860465,-84.25
61,932093023.255814,-84.39
62,932209302.3255814,-83.66
63,932325581.3953488,-81.47
64,932441860.4651163,-78.84
65,932558139.5348837,-77.53
66,932674418.6046512,-77.86
67,932790697.6744186,-76.8
68,932906976.744186,-75.1
