i, frequency, magnitude
0,925000000.0,-84.46
1,925116279.0697675,-84.38
2,925232558.1395348,-84.39
3,925348837.2093023,-84.22
4,925465116.2790698,-84.38
5,925581395.3488373,-84.49
6,925697674.4186046,-84.48
7,925813953.4883721,-84.41
8,925930232.5581396,-83.57
9,926046511.6279069,-79.97
10,926162790.6976744,-74.21
11,926279069.7674419,-71.33
12,926395348.8372093,-71.1
13,926511627.9069767,-73.74
14,926627906.9767442,-78.86
15,926744186.0465117,-83.2
16,926860465.1162791,-83.67
17,926976744.1860465,-82.17
18,927093023.255814,-80.76
19,927209302.3255814,-80.88
20,927325581.3953488,-82.18
21,927441860.4651163,-83.02
22,927558139.5348837,-83.1
23,927674418.6046512,-83.6
24,927790697.6744186,-84.07
25,927906976.744186,-84.44
26,928023255.8139535,-84.47
27,928139534.8837209,-84.14
28,928255813.9534883,-84.32
29,928372093.0232558,-84.05
30,928488372.0930233,-83.47
31,928604651.1627907,-83.15
32,928720930.2325581,-83.04
33,928837209.3023256,-84.17
34,928953488.3720931,-84.52
35,929069767.4418604,-84.41
36,929186046.5116279,-84.2
37,929302325.5813954,-84.15
38,929418604.6511627,-83.87
39,929534883.7209302,-83.97
40,929651162.7906977,-83.96
41,929767441.8604652,-83.92
42,929883720.9302325,-84.24
43,930000000.0,-84.4
44,930116279.0697675,-84.32
45,930232558.1395348,-84.42
46,930348837.2093023,-84.38
47,930465116.2790698,-84.24
48,930581395.3488373,-84.35
49,930697674.4186046,-84.36
50,930813953.4883721,-84.28
51,930930232.5581396,-84.3
52,931046511.6279069,-84.44
53,931162790.6976744,-84.22
54,931279069.7674419,-84.15
55,931395348.8372093,-84.39
56,931511627.9069767,-84.36
57,931627906.9767442,-84.41
58,931744186.0465117,-84.18
59,931860465.1162791,-84.36
60,931976744.1860465,-84.44
61,932093023.255814,-84.16
62,932209302.3255814,-83.74
63,932325581.3953488,-81.63
64,932441860.4651163,-78.81
65,932558139.5348837,-77.47
66,932674418.6046512,-77.59
67,932790697.6744186,-76.54
68,932906976.744186,-74.54
69,933023255.8139535,-74.88
70,933139534.8837209,-78.08
71,933255813.9534883,-81.96
72,933372093.0232558,-83.89
73,933488372.0930233,-84.3
74,933604651.1627907,-84.08
75,933720930.2325581,-84.04
76,933837209.3023256,-84.06
77,933953488.3720931,-84.31
78,934069767.4418604,-84.3
79,934186046.5116279,-83.3
80,934302325.5813954,-79.52
81,934418604.6511627,-76.09
82,934534883.7209302,-69.27
83,934651162.7906977,-72.15
84,934767441.8604652,-68.94
85,934883720.9302325,-66.09
86,935000000.0,-65.9
87,935116279.0697675,-68.78
88,935232558.1395348,-74.55
89,935348837.2093023,-80.74
90,935465116.2790698,-82.1
91,935581395.3488373,-81.5
92,935697674.4186046,-81.28
93,935813953.4883721,-80.88
94,935930232.5581396,-80.97
95,936046511.6279069,-81.03
96,936162790.6976744,-81.21
97,936279069.7674419,-81.01
98,936395348.8372093,-80.77
99,936511627.9069767,-80.36
100,936627906.9767442,-80.15
101,936744186.0465117,-79.71
102,936860465.1162791,-79.52
103,936976744.1860465,-79.43
104,937093023.255814,-79.34
105,937209302.3255814,-79.27
106,937325581.3953488,-79.43
107,937441860.4651163,-79.67
108,937558139.5348837,-80.04
109,937674418.6046512,-80.6
110,937790697.6744186,-80.51
111,937906976.744186,-80.49
112,938023255.8139535,-80.05
113,938139534.8837209,-79.44
114,938255813.9534883,-79.28
115,938372093.0232558,-79.38
116,938488372.0930233,-79.66
117,938604651.1627907,-80.5
118,938720930.2325581,-80.49
119,938837209.3023256,-80.34
120,938953488.3720931,-80.29
121,939069767.4418604,-80.19
122,939186046.5116279,-80.84
123,939302325.5813954,-81.83
124,939418604.6511627,-82.3
125,939534883.7209302,-79.04
126,939651162.7906977,-75.36
127,939767441.8604652,-73.84
128,939883720.9302325,-74.05
129,940000000.0,-74.53
130,940116279.0697675,-74.99
131,940232558.1395348,-76.63
132,940348837.2093023,-79.92
133,940465116.2790698,-82.91
134,940581395.3488373,-84.04
135,940697674.4186046,-83.93
136,940813953.4883721,-83.65
137,940930232.5581396,-83.48
138,941046511.6279069,-83.41
139,941162790.6976744,-83.4
140,941279069.7674419,-82.75
141,941395348.8372093,-81.34
142,941511627.9069767,-80.07
143,941627906.9767442,-80.37
144,941744186.0465117,-81.39
145,941860465.1162791,-80.74
146,941976744.1860465,-77.1
147,942093023.255814,-74.92
148,942209302.3255814,-75.06
149,942325581.3953488,-77.7
150,942441860.4651163,-81.43
151,942558139.5348837,-83.2
152,942674418.6046512,-83.61
153,942790697.6744186,-83.44
154,942906976.744186,-82.26
155,943023255.8139535,-81.07
156,943139534.8837209,-80.29
157,943255813.9534883,-80.7
158,943372093.0232558,-78.4
159,943488372.0930233,-73.64
160,943604651.1627907,-70.0
161,943720930.2325581,-68.11
162,943837209.3023256,-69.41
163,943953488.372093,-73.24
164,944069767.4418604,-78.56
165,944186046.5116279,-80.64
166,944302325.5813954,-81.59
167,944418604.6511627,-81.02
168,944534883.7209302,-76.19
169,944651162.7906977,-72.23
170,944767441.8604652,-70.82
171,944883720.9302325,-68.15
172,945000000.0,-60.59
173,945116279.0697675,-54.34
174,945232558.1395348,-50.47
175,945348837.2093023,-49.09
176,945465116.2790698,-49.89
177,945581395.3488373,-49.23
178,945697674.4186046,-48.5
179,945813953.4883721,-48.57
180,945930232.5581396,-48.78
181,946046511.627907,-48.74
182,946162790.6976744,-48.51
183,946279069.7674419,-48.66
184,946395348.8372093,-48.6
185,946511627.9069767,-48.71
186,946627906.9767442,-48.32
187,946744186.0465117,-50.09
188,946860465.1162791,-49.69
189,946976744.1860465,-49.69
190,947093023.255814,-49.22
191,947209302.3255814,-48.82
192,947325581.3953488,-47.18
193,947441860.4651163,-47.13
194,947558139.5348837,-47.17
195,947674418.6046512,-47.06
196,947790697.6744186,-47.3
197,947906976.744186,-47.48
198,948023255.8139535,-47.72
199,948139534.8837209,-47.95
200,948255813.9534883,-48.25
201,948372093.0232558,-49.54
202,948488372.0930233,-50.18
203,948604651.1627907,-48.27
204,948720930.2325581,-47.96
205,948837209.3023256,-47.8
206,948953488.372093,-48.52
207,949069767.4418604,-52.28
208,949186046.5116279,-56.65
209,949302325.5813954,-61.5
210,949418604.6511627,-70.93
211,949534883.7209302,-78.67
212,949651162.7906977,-79.94
213,949767441.8604652,-81.45
214,949883720.9302325,-82.25
215,950000000.0,-82.63
216,950116279.0697675,-83.23
217,950232558.1395348,-83.46
218,950348837.2093023,-83.66
219,950465116.2790698,-83.6
220,950581395.3488373,-83.95
221,950697674.4186046,-81.06
222,950813953.4883721,-82.02
223,950930232.5581396,-81.07
224,951046511.627907,-82.52
225,951162790.6976744,-83.62
226,951279069.7674419,-83.91
227,951395348.8372093,-84.0
228,951511627.9069767,-83.65
229,951627906.9767442,-83.74
230,951744186.0465117,-83.66
231,951860465.1162791,-81.77
232,951976744.1860465,-78.21
233,952093023.255814,-75.51
234,952209302.3255814,-75.48
235,952325581.3953488,-77.97
236,952441860.4651163,-80.94
237,952558139.5348837,-82.22
238,952674418.6046512,-82.88
239,952790697.6744186,-83.97
240,952906976.744186,-84.01
241,953023255.8139535,-83.79
242,953139534.8837209,-83.82
243,953255813.9534883,-83.69
244,953372093.0232558,-83.87
245,953488372.0930233,-83.65
246,953604651.1627907,-83.44
247,953720930.2325581,-83.13
248,953837209.3023256,-82.85
249,953953488.372093,-83.02
250,954069767.4418604,-83.03
251,954186046.5116279,-82.96
252,954302325.5813954,-83.29
253,954418604.6511627,-83.51
254,954534883.7209302,-83.79
255,954651162.7906977,-83.81
256,954767441.8604652,-84.11
257,954883720.9302325,-84.01
258,955000000.0,-83.5
259,955116279.0697675,-83.49
260,955232558.1395348,-83.42
261,955348837.2093023,-83.63
262,955465116.2790698,-83.34
263,955581395.3488373,-83.13
264,955697674.4186046,-82.65
265,955813953.4883721,-81.85
266,955930232.5581396,-82.48
267,956046511.627907,-82.23
268,956162790.6976744,-82.49
269,956279069.7674419,-82.58
270,956395348.8372093,-82.6
271,956511627.9069767,-82.67
272,956627906.9767442,-82.67
273,956744186.0465117,-83.27
274,956860465.1162791,-83.66
275,956976744.1860465,-84.08
276,957093023.255814,-84.25
277,957209302.3255814,-84.29
278,957325581.3953488,-84.3
279,957441860.4651163,-84.37
280,957558139.5348837,-84.21
281,957674418.6046512,-84.28
282,957790697.6744186,-83.96
283,957906976.744186,-83.5
284,958023255.8139535,-83.37
