i, frequency, magnitude
0,925000000.0,-84.43
1,925116279.0697675,-84.34
2,925232558.1395348,-84.25
3,925348837.2093023,-84.36
4,925465116.2790698,-84.46
5,925581395.3488373,-84.27
6,925697674.4186046,-84.25
7,925813953.4883721,-84.44
8,925930232.5581396,-83.65
9,926046511.6279069,-79.94
10,926162790.6976744,-74.78
11,926279069.7674419,-71.82
12,926395348.8372093,-71.37
13,926511627.9069767,-74.23
15,926744186.0465117,-81.66
14,926627906.9767442,-79.08
17,926976744.1860465,-79.82
16,926860465.1162791,-80.84
18,927093023.255814,-79.68
19,927209302.3255814,-80.58
20,927325581.3953488,-82.33
21,927441860.4651163,-83.22
22,927558139.5348837,-82.41
23,927674418.6046512,-79.86
24,927790697.6744186,-77.25
25,927906976.744186,-75.12
26,928023255.8139535,-75.01
27,928139534.8837209,-76.65
28,928255813.9534883,-81.64
29,928372093.0232558,-83.76
30,928488372.0930233,-83.18
31,928604651.1627907,-83.15
32,928720930.2325581,-82.96
33,928837209.3023256,-83.69
34,928953488.3720931,-83.86
35,929069767.4418604,-83.92
36,929186046.5116279,-83.96
37,929302325.5813954,-83.83
38,929418604.6511627,-83.98
39,929534883.7209302,-84.21
40,929651162.7906977,-84.21
41,929767441.8604652,-83.73
42,929883720.9302325,-84.22
43,930000000.0,-84.13
44,930116279.0697675,-84.47
45,930232558.1395348,-84.45
46,930348837.2093023,-84.51
47,930465116.2790698,-84.43
48,930581395.3488373,-84.37
49,930697674.4186046,-84.46
50,930813953.4883721,-84.35
51,930930232.5581396,-84.37
52,931046511.6279069,-84.34
53,931162790.6976744,-84.52
54,931279069.7674419,-84.31
55,931395348.8372093,-84.19
56,931511627.9069767,-84.43
57,931627906.9767442,-84.29
58,931744186.0465117,-84.01
59,931860465.1162791,-83.66
60,931976744.1860465,-83.74
61,932093023.255814,-84.13
62,932209302.3255814,-83.82
63,932325581.3953488,-81.6
64,932441860.4651163,-78.67
65,932558139.5348837,-77.32
66,932674418.6046512,-77.61
67,932790697.6744186,-76.53
68,932906976.744186,-74.79
69,933023255.8139535,-75.4
70,933139534.8837209,-78.1
71,933255813.9534883,-82.09
72,933372093.0232558,-83.56
73,933488372.0930233,-81.76
74,933604651.1627907,-82.89
75,933720930.2325581,-83.4
76,933837209.3023256,-83.98
77,933953488.3720931,-84.2
78,934069767.4418604,-84.38
79,934186046.5116279,-83.72
80,934302325.5813954,-82.68
81,934418604.6511627,-80.54
82,934534883.7209302,-78.37
83,934651162.7906977,-75.04
84,934767441.8604652,-70.01
85,934883720.9302325,-66.93
86,935000000.0,-66.71
87,935116279.0697675,-69.49
88,935232558.1395348,-75.18
89,935348837.2093023,-80.94
90,935465116.2790698,-81.68
91,935581395.3488373,-81.08
92,935697674.4186046,-80.56
93,935813953.4883721,-80.79
94,935930232.5581396,-80.84
95,936046511.6279069,-81.09
96,936162790.6976744,-81.1
97,936279069.7674419,-81.06
98,936395348.8372093,-81.15
99,936511627.9069767,-80.74
100,936627906.9767442,-80.43
101,936744186.0465117,-80.01
102,936860465.1162791,-79.68
103,936976744.1860465,-79.07
104,937093023.255814,-78.71
105,937209302.3255814,-78.74
106,937325581.3953488,-79.22
107,937441860.4651163,-79.64
108,937558139.5348837,-80.02
109,937674418.6046512,-80.06
110,937790697.6744186,-80.38
111,937906976.744186,-80.07
112,938023255.8139535,-79.37
113,938139534.8837209,-78.89
114,938255813.9534883,-78.7
115,938372093.0232558,-78.75
116,938488372.0930233,-79.07
117,938604651.1627907,-79.77
118,938720930.2325581,-80.19
119,938837209.3023256,-80.07
120,938953488.3720931,-79.75
121,939069767.4418604,-79.72
122,939186046.5116279,-80.37
123,939302325.5813954,-81.89
124,939418604.6511627,-82.28
125,939534883.7209302,-79.3
126,939651162.7906977,-75.59
127,939767441.8604652,-73.77
128,939883720.9302325,-73.67
129,940000000.0,-74.29
130,940116279.0697675,-75.27
131,940232558.1395348,-77.15
132,940348837.2093023,-80.37
133,940465116.2790698,-83.27
134,940581395.3488373,-84.01
135,940697674.4186046,-83.78
136,940813953.4883721,-83.65
137,940930232.5581396,-83.39
138,941046511.6279069,-83.34
139,941162790.6976744,-83.59
140,941279069.7674419,-83.02
141,941395348.8372093,-81.5
142,941511627.9069767,-80.49
143,941627906.9767442,-80.74
144,941744186.0465117,-81.47
145,941860465.1162791,-80.58
146,941976744.1860465,-77.21
147,942093023.255814,-74.78
148,942209302.3255814,-74.75
149,942325581.3953488,-77.58
