i, frequency, magnitude
1,925116279.0697675,-84.52
0,925000000.0,-84.42
2,925232558.1395348,-84.23
3,925348837.2093023,-84.38
4,925465116.2790698,-84.48
6,925697674.4186046,-84.31
5,925581395.3488373,-84.32
7,925813953.4883721,-84.28
8,925930232.5581396,-83.72
9,926046511.6279069,-79.66
11,926279069.7674419,-71.84
10,926162790.6976744,-75.11
13,926511627.9069767,-74.39
12,926395348.8372093,-71.49
14,926627906.9767442,-79.12
16,926860465.1162791,-82.19
15,926744186.0465117,-82.66
17,926976744.1860465,-80.64
18,927093023.255814,-79.64
19,927209302.3255814,-80.91
20,927325581.3953488,-82.2
22,927558139.5348837,-82.34
21,927441860.4651163,-82.62
23,927674418.6046512,-79.6
24,927790697.6744186,-76.49
25,927906976.744186,-74.75
26,928023255.8139535,-74.36
27,928139534.8837209,-77.8
28,928255813.9534883,-82.65
29,928372093.0232558,-84.07
30,928488372.0930233,-84.52
31,928604651.1627907,-84.32
32,928720930.2325581,-84.1
33,928837209.3023256,-84.05
34,928953488.3720931,-82.34
35,929069767.4418604,-78.59
36,929186046.5116279,-84.1
37,929302325.5813954,-83.66
38,929418604.6511627,-83.68
39,929534883.7209302,-84.04
40,929651162.7906977,-84.0
41,929767441.8604652,-84.11
42,929883720.9302325,-84.28
43,930000000.0,-84.48
44,930116279.0697675,-84.31
45,930232558.1395348,-84.37
46,930348837.2093023,-84.37
47,930465116.2790698,-84.38
48,930581395.3488373,-84.27
49,930697674.4186046,-84.3
50,930813953.4883721,-84.32
51,930930232.5581396,-84.39
52,931046511.6279069,-84.36
53,931162790.6976744,-84.35
54,931279069.7674419,-84.3
55,931395348.8372093,-84.37
56,931511627.9069767,-84.34
57,931627906.9767442,-84.26
58,931744186.0465117,-83.94
59,931860465.1162791,-83.69
60,931976744.1860465,-83.41
61,932093023.255814,-84.06
62,932209302.3255814,-83.62
63,932325581.3953488,-81.91
64,932441860.4651163,-79.08
65,932558139.5348837,-77.65
66,932674418.6046512,-77.7
67,932790697.6744186,-76.53
68,932906976.744186,-74.52
69,933023255.8139535,-74.8
70,933139534.8837209,-77.9
71,933255813.9534883,-81.55
72,933372093.0232558,-83.18
73,933488372.0930233,-81.69
74,933604651.1627907,-83.97
75,933720930.2325581,-84.09
76,933837209.3023256,-84.17
77,933953488.3720931,-84.25
78,934069767.4418604,-84.38
79,934186046.5116279,-84.04
80,934302325.5813954,-80.53
81,934418604.6511627,-75.42
82,934534883.7209302,-72.83
83,934651162.7906977,-72.49
84,934767441.8604652,-69.6
85,934883720.9302325,-66.55
86,935000000.0,-66.3
87,935116279.0697675,-69.19
88,935232558.1395348,-74.85
89,935348837.2093023,-80.78
90,935465116.2790698,-81.63
91,935581395.3488373,-81.02
92,935697674.4186046,-80.42
93,935813953.4883721,-79.96
94,935930232.5581396,-80.64
95,936046511.6279069,-81.01
96,936162790.6976744,-80.99
97,936279069.7674419,-81.07
98,936395348.8372093,-80.83
99,936511627.9069767,-80.63
100,936627906.9767442,-80.42
101,936744186.0465117,-79.92
102,936860465.1162791,-79.66
103,936976744.1860465,-79.53
104,937093023.255814,-79.04
105,937209302.3255814,-78.89
106,937325581.3953488,-79.14
107,937441860.4651163,-79.45
108,937558139.5348837,-79.99
109,937674418.6046512,-79.97
110,937790697.6744186,-80.24
111,937906976.744186,-80.25
112,938023255.8139535,-79.76
113,938139534.8837209,-79.11
114,938255813.9534883,-79.17
115,938372093.0232558,-79.23
116,938488372.0930233,-79.89
