i, frequency, magnitude
0,925000000.0,-84.39
1,925116279.0697675,-84.13
2,925232558.1395348,-84.46
3,925348837.2093023,-84.3
4,925465116.2790698,-84.24
5,925581395.3488373,-84.38
6,925697674.4186046,-84.32
7,925813953.4883721,-84.41
8,925930232.5581396,-83.52
9,926046511.6279069,-79.31
10,926162790.6976744,-74.62
11,926279069.7674419,-71.04
12,926395348.8372093,-70.89
13,926511627.9069767,-73.64
14,926627906.9767442,-78.75
15,926744186.0465117,-82.71
16,926860465.1162791,-82.11
17,926976744.1860465,-80.77
18,927093023.255814,-79.57
19,927209302.3255814,-79.99
20,927325581.3953488,-81.89
21,927441860.4651163,-83.36
22,927558139.5348837,-83.61
23,927674418.6046512,-83.57
24,927790697.6744186,-84.2
25,927906976.744186,-84.3
26,928023255.8139535,-84.46
27,928139534.8837209,-84.42
28,928255813.9534883,-84.39
29,928372093.0232558,-83.51
30,928488372.0930233,-82.99
31,928604651.1627907,-83.21
32,928720930.2325581,-83.78
33,928837209.3023256,-84.07
34,928953488.3720931,-84.13
35,929069767.4418604,-84.29
36,929186046.5116279,-84.3
37,929302325.5813954,-84.28
38,929418604.6511627,-84.01
39,929534883.7209302,-84.2
40,929651162.7906977,-83.81
41,929767441.8604652,-84.22
42,929883720.9302325,-84.1
43,930000000.0,-84.33
44,930116279.0697675,-84.44
45,930232558.1395348,-84.32
46,930348837.2093023,-84.32
47,930465116.2790698,-84.38
48,930581395.3488373,-84.41
49,930697674.4186046,-84.46
50,930813953.4883721,-84.5
51,930930232.5581396,-84.34
52,931046511.6279069,-84.55
53,931162790.6976744,-84.44
54,931279069.7674419,-84.36
55,931395348.8372093,-84.3
56,931511627.9069767,-84.28
57,931627906.9767442,-84.24
58,931744186.0465117,-84.42
59,931860465.1162791,-84.34
60,931976744.1860465,-84.23
61,932093023.255814,-84.2
62,932209302.3255814,-83.81
63,932325581.3953488,-81.86
64,932441860.4651163,-79.15
65,932558139.5348837,-77.85
66,932674418.6046512,-78.18
67,932790697.6744186,-77.2
68,932906976.744186,-75.59
69,933023255.8139535,-75.94
70,933139534.8837209,-78.77
71,933255813.9534883,-82.58
72,933372093.0232558,-83.78
73,933488372.0930233,-83.28
