i, frequency, magnitude
0,925000000.0,-84.48
1,925116279.0697675,-84.5
2,925232558.1395348,-84.35
3,925348837.2093023,-84.36
4,925465116.2790698,-84.44
5,925581395.3488373,-84.41
6,925697674.4186046,-84.4
7,925813953.4883721,-84.23
8,925930232.5581396,-83.6
9,926046511.6279069,-80.57
10,926162790.6976744,-75.16
11,926279069.7674419,-72.01
12,926395348.8372093,-71.73
13,926511627.9069767,-74.36
14,926627906.9767442,-79.41
15,926744186.0465117,-82.76
16,926860465.1162791,-82.11
17,926976744.1860465,-80.26
18,927093023.255814,-79.79
19,927209302.3255814,-80.91
20,927325581.3953488,-82.22
21,927441860.4651163,-82.65
22,927558139.5348837,-82.41
23,927674418.6046512,-80.24
24,927790697.6744186,-76.84
25,927906976.744186,-73.92
26,928023255.8139535,-75.85
27,928139534.8837209,-78.71
28,928255813.9534883,-82.3
29,928372093.0232558,-83.53
30,928488372.0930233,-83.44
31,928604651.1627907,-83.23
32,928720930.2325581,-83.63
33,928837209.3023256,-83.63
34,928953488.3720931,-83.98
35,929069767.4418604,-81.93
36,929186046.5116279,-83.85
37,929302325.5813954,-84.07
38,929418604.6511627,-83.9
39,929534883.7209302,-83.73
40,929651162.7906977,-83.55
41,929767441.8604652,-83.89
42,929883720.9302325,-84.25
43,930000000.0,-84.41
44,930116279.0697675,-84.43
45,930232558.1395348,-84.39
46,930348837.2093023,-84.29
47,930465116.2790698,-84.37
48,930581395.3488373,-84.27
49,930697674.4186046,-84.39
50,930813953.4883721,-84.47
51,930930232.5581396,-84.37
52,931046511.6279069,-84.51
53,931162790.6976744,-84.45
54,931279069.7674419,-84.29
55,931395348.8372093,-84.22
56,931511627.9069767,-84.32
57,931627906.9767442,-84.3
58,931744186.0465117,-84.35
59,931860465.1162791,-84.29
60,931976744.1860465,-84.29
61,932093023.255814,-84.37
62,932209302.3255814,-83.71
63,932325581.3953488,-81.59
64,932441860.4651163,-78.72
65,932558139.5348837,-77.45
66,932674418.6046512,-77.66
67,932790697.6744186,-76.35
68,932906976.744186,-74.77
69,933023255.8139535,-75.14
70,933139534.8837209,-78.01
71,933255813.9534883,-81.92
72,933372093.0232558,-83.71
73,933488372.0930233,-84.32
74,933604651.1627907,-84.26
75,933720930.2325581,-84.26
76,933837209.3023256,-84.14
77,933953488.3720931,-84.35
78,934069767.4418604,-84.21
79,934186046.5116279,-84.32
80,934302325.5813954,-82.68
81,934418604.6511627,-79.14
82,934534883.7209302,-76.27
83,934651162.7906977,-73.7
84,934767441.8604652,-70.07
85,934883720.9302325,-67.09
86,935000000.0,-66.74
87,935116279.0697675,-69.61
88,935232558.1395348,-75.2
89,935348837.2093023,-80.26
90,935465116.2790698,-79.75
91,935581395.3488373,-78.73
92,935697674.4186046,-78.1
93,935813953.4883721,-78.23
94,935930232.5581396,-78.54
95,936046511.6279069,-78.8
96,936162790.6976744,-78.78
97,936279069.7674419,-79.03
98,936395348.8372093,-78.33
99,936511627.9069767,-78.06
100,936627906.9767442,-77.77
101,936744186.0465117,-77.35
102,936860465.1162791,-77.26
103,936976744.1860465,-76.97
104,937093023.255814,-76.88
105,937209302.3255814,-76.45
106,937325581.3953488,-76.56
107,937441860.4651163,-77.15
108,937558139.5348837,-77.89
109,937674418.6046512,-78.47
110,937790697.6744186,-78.9
111,937906976.744186,-78.09
112,938023255.8139535,-77.28
113,938139534.8837209,-75.9
114,938255813.9534883,-75.5
115,938372093.0232558,-75.36
116,938488372.0930233,-76.06
117,938604651.1627907,-76.86
118,938720930.2325581,-77.17
119,938837209.3023256,-77.0
120,938953488.3720931,-76.64
121,939069767.4418604,-76.71
122,939186046.5116279,-77.55
123,939302325.5813954,-79.21
124,939418604.6511627,-81.21
125,939534883.7209302,-78.94
126,939651162.7906977,-75.5
127,939767441.8604652,-73.73
128,939883720.9302325,-73.86
129,940000000.0,-74.15
130,940116279.0697675,-74.69
131,940232558.1395348,-76.17
132,940348837.2093023,-79.47
133,940465116.2790698,-82.69
134,940581395.3488373,-83.93
135,940697674.4186046,-83.99
136,940813953.4883721,-83.73
137,940930232.5581396,-83.39
138,941046511.6279069,-83.61
139,941162790.6976744,-83.44
140,941279069.7674419,-82.89
141,941395348.8372093,-81.11
142,941511627.9069767,-80.12
143,941627906.9767442,-80.53
144,941744186.0465117,-81.48
145,941860465.1162791,-80.76
146,941976744.1860465,-77.25
147,942093023.255814,-74.89
148,942209302.3255814,-75.02
149,942325581.3953488,-77.59
150,942441860.4651163,-81.33
151,942558139.5348837,-83.1
152,942674418.6046512,-83.65
153,942790697.6744186,-83.33
154,942906976.744186,-81.64
155,943023255.8139535,-80.42
156,943139534.8837209,-79.07
157,943255813.9534883,-79.26
158,943372093.0232558,-78.61
159,943488372.0930233,-74.08
160,943604651.1627907,-70.11
161,943720930.2325581,-68.37
162,943837209.3023256,-69.16
163,943953488.372093,-73.46
164,944069767.4418604,-78.56
165,944186046.5116279,-81.24
166,944302325.5813954,-81.99
167,944418604.6511627,-81.14
168,944534883.7209302,-78.57
169,944651162.7906977,-75.33
170,944767441.8604652,-74.23
171,944883720.9302325,-70.59
172,945000000.0,-61.51
173,945116279.0697675,-54.59
174,945232558.1395348,-51.32
175,945348837.2093023,-50.59
176,945465116.2790698,-50.15
177,945581395.3488373,-50.29
178,945697674.4186046,-49.14
179,945813953.4883721,-48.75
180,945930232.5581396,-50.1
181,946046511.627907,-50.57
182,946162790.6976744,-50.6
183,946279069.7674419,-50.49
184,946395348.8372093,-48.67
185,946511627.9069767,-48.47
186,946627906.9767442,-48.24
187,946744186.0465117,-48.45
188,946860465.1162791,-49.49
189,946976744.1860465,-48.74
190,947093023.255814,-49.22
191,947209302.3255814,-48.82
192,947325581.3953488,-47.18
193,947441860.4651163,-47.13
194,947558139.5348837,-47.17
195,947674418.6046512,-47.06
196,947790697.6744186,-47.3
197,947906976.744186,-47.48
198,948023255.8139535,-47.72
199,948139534.8837209,-47.95
200,948255813.9534883,-48.25
201,948372093.0232558,-49.54
202,948488372.0930233,-50.18
203,948604651.1627907,-48.27
204,948720930.2325581,-47.96
205,948837209.3023256,-47.8
206,948953488.372093,-48.52
207,949069767.4418604,-52.28
208,949186046.5116279,-56.65
209,949302325.5813954,-61.5
210,949418604.6511627,-70.93
211,949534883.7209302,-78.67
212,949651162.7906977,-79.94
213,949767441.8604652,-81.45
214,949883720.9302325,-82.25
215,950000000.0,-82.63
216,950116279.0697675,-83.23
217,950232558.1395348,-83.46
218,950348837.2093023,-83.66
219,950465116.2790698,-83.6
220,950581395.3488373,-83.95
221,950697674.4186046,-81.06
222,950813953.4883721,-82.02
223,950930232.5581396,-81.07
224,951046511.627907,-82.52
225,951162790.6976744,-83.62
226,951279069.7674419,-83.91
227,951395348.8372093,-84.0
228,951511627.9069767,-83.65
229,951627906.9767442,-83.74
230,951744186.0465117,-83.66
231,951860465.1162791,-81.77
232,951976744.1860465,-78.21
233,952093023.255814,-75.51
234,952209302.3255814,-75.48
235,952325581.3953488,-77.97
236,952441860.4651163,-80.94
237,952558139.5348837,-82.22
238,952674418.6046512,-82.88
239,952790697.6744186,-83.97
240,952906976.744186,-84.01
242,953139534.8837209,-83.82
241,953023255.8139535,-83.79
243,953255813.9534883,-83.69
244,953372093.0232558,-83.87
245,953488372.0930233,-83.65
246,953604651.1627907,-83.44
247,953720930.2325581,-83.13
248,953837209.3023256,-82.85
249,953953488.372093,-83.02
250,954069767.4418604,-83.03
251,954186046.5116279,-82.96
252,954302325.5813954,-83.29
253,954418604.6511627,-83.51
254,954534883.7209302,-83.79
255,954651162.7906977,-83.81
256,954767441.8604652,-84.11
257,954883720.9302325,-84.01
258,955000000.0,-83.5
259,955116279.0697675,-83.49
260,955232558.1395348,-83.42
261,955348837.2093023,-83.63
262,955465116.2790698,-83.34
263,955581395.3488373,-83.13
264,955697674.4186046,-82.65
265,955813953.4883721,-81.85
266,955930232.5581396,-82.48
267,956046511.627907,-82.23
268,956162790.6976744,-82.49
269,956279069.7674419,-82.58
270,956395348.8372093,-82.6
271,956511627.9069767,-82.67
272,956627906.9767442,-82.67
273,956744186.0465117,-83.27
274,956860465.1162791,-83.66
275,956976744.1860465,-84.08
276,957093023.255814,-84.25
277,957209302.3255814,-84.29
278,957325581.3953488,-84.3
279,957441860.4651163,-84.37
280,957558139.5348837,-84.21
281,957674418.6046512,-84.28
282,957790697.6744186,-83.96
283,957906976.744186,-83.5
284,958023255.8139535,-83.37
285,958139534.8837209,-81.75
286,958255813.9534883,-80.18
287,958372093.0232558,-79.79
288,958488372.0930233,-81.27
289,958604651.1627907,-83.28
