i, frequency, magnitude
0,925000000.0,-84.39
1,925116279.0697675,-84.43
2,925232558.1395348,-84.33
3,925348837.2093023,-84.35
4,925465116.2790698,-84.36
5,925581395.3488373,-84.2
6,925697674.4186046,-84.43
7,925813953.4883721,-84.3
8,925930232.5581396,-83.42
9,926046511.6279069,-79.33
10,926162790.6976744,-74.4
11,926279069.7674419,-71.19
12,926395348.8372093,-70.94
13,926511627.9069767,-73.7
14,926627906.9767442,-78.79
15,926744186.0465117,-82.41
16,926860465.1162791,-82.0
17,926976744.1860465,-80.07
18,927093023.255814,-79.95
19,927209302.3255814,-80.89
20,927325581.3953488,-82.34
21,927441860.4651163,-83.18
22,927558139.5348837,-82.7
23,927674418.6046512,-83.74
24,927790697.6744186,-84.2
25,927906976.744186,-84.33
26,928023255.8139535,-77.97
27,928139534.8837209,-80.01
28,928255813.9534883,-82.8
29,928372093.0232558,-84.11
30,928488372.0930233,-84.37
31,928604651.1627907,-82.73
32,928720930.2325581,-83.15
33,928837209.3023256,-84.22
34,928953488.3720931,-81.83
35,929069767.4418604,-82.63
36,929186046.5116279,-83.53
37,929302325.5813954,-84.04
38,929418604.6511627,-83.99
39,929534883.7209302,-83.14
40,929651162.7906977,-83.69
41,929767441.8604652,-83.99
42,929883720.9302325,-84.01
43,930000000.0,-84.41
44,930116279.0697675,-84.45
45,930232558.1395348,-84.47
46,930348837.2093023,-84.32
47,930465116.2790698,-84.36
48,930581395.3488373,-84.45
49,930697674.4186046,-84.38
50,930813953.4883721,-84.52
51,930930232.5581396,-84.4
52,931046511.6279069,-84.42
53,931162790.6976744,-84.09
54,931279069.7674419,-84.19
55,931395348.8372093,-84.31
56,931511627.9069767,-84.19
57,931627906.9767442,-84.14
58,931744186.0465117,-84.22
59,931860465.1162791,-84.15
60,931976744.1860465,-83.95
61,932093023.255814,-84.23
62,932209302.3255814,-83.72
63,932325581.3953488,-81.57
64,932441860.4651163,-79.0
65,932558139.5348837,-77.87
66,932674418.6046512,-78.02
67,932790697.6744186,-76.76
68,932906976.744186,-74.91
69,933023255.8139535,-75.26
70,933139534.8837209,-78.36
71,933255813.9534883,-82.16
72,933372093.0232558,-83.59
73,933488372.0930233,-83.14
74,933604651.1627907,-83.1
75,933720930.2325581,-83.39
76,933837209.3023256,-83.96
77,933953488.3720931,-84.27
78,934069767.4418604,-84.51
79,934186046.5116279,-83.55
80,934302325.5813954,-81.54
81,934418604.6511627,-79.33
82,934534883.7209302,-77.45
83,934651162.7906977,-74.09
84,934767441.8604652,-69.22
85,934883720.9302325,-66.12
86,935000000.0,-65.86
87,935116279.0697675,-68.74
88,935232558.1395348,-74.47
89,935348837.2093023,-80.74
90,935465116.2790698,-81.81
91,935581395.3488373,-81.35
92,935697674.4186046,-80.9
93,935813953.4883721,-81.0
94,935930232.5581396,-81.09
95,936046511.6279069,-80.89
96,936162790.6976744,-80.52
97,936279069.7674419,-80.95
98,936395348.8372093,-80.58
99,936511627.9069767,-80.42
100,936627906.9767442,-79.84
101,936744186.0465117,-79.52
102,936860465.1162791,-79.58
103,936976744.1860465,-79.29
104,937093023.255814,-79.05
105,937209302.3255814,-78.93
106,937325581.3953488,-78.95
107,937441860.4651163,-79.22
108,937558139.5348837,-79.14
109,937674418.6046512,-78.77
110,937790697.6744186,-79.35
111,937906976.744186,-78.99
112,938023255.8139535,-78.62
113,938139534.8837209,-78.52
114,938255813.9534883,-77.61
115,938372093.0232558,-77.88
116,938488372.0930233,-78.61
117,938604651.1627907,-79.28
118,938720930.2325581,-79.17
119,938837209.3023256,-79.34
120,938953488.3720931,-79.2
121,939069767.4418604,-79.21
122,939186046.5116279,-79.9
123,939302325.5813954,-81.41
124,939418604.6511627,-82.15
125,939534883.7209302,-79.24
126,939651162.7906977,-75.51
127,939767441.8604652,-73.87
128,939883720.9302325,-74.04
129,940000000.0,-74.6
130,940116279.0697675,-75.22
131,940232558.1395348,-76.76
132,940348837.2093023,-79.93
133,940465116.2790698,-82.99
134,940581395.3488373,-83.98
135,940697674.4186046,-84.02
136,940813953.4883721,-83.71
137,940930232.5581396,-83.45
138,941046511.6279069,-83.66
139,941162790.6976744,-83.5
140,941279069.7674419,-83.07
141,941395348.8372093,-81.47
142,941511627.9069767,-80.46
143,941627906.9767442,-80.94
144,941744186.0465117,-81.78
145,941860465.1162791,-81.03
146,941976744.1860465,-78.31
147,942093023.255814,-76.01
148,942209302.3255814,-76.15
149,942325581.3953488,-78.59
150,942441860.4651163,-81.85
151,942558139.5348837,-83.28
152,942674418.6046512,-83.87
153,942790697.6744186,-83.26
154,942906976.744186,-81.27
155,943023255.8139535,-79.96
156,943139534.8837209,-78.16
157,943255813.9534883,-78.8
158,943372093.0232558,-78.31
159,943488372.0930233,-74.11
160,943604651.1627907,-71.29
161,943720930.2325581,-69.04
162,943837209.3023256,-70.0
163,943953488.372093,-73.88
164,944069767.4418604,-78.78
165,944186046.5116279,-81.01
166,944302325.5813954,-81.73
167,944418604.6511627,-80.71
168,944534883.7209302,-76.67
169,944651162.7906977,-72.98
170,944767441.8604652,-71.02
171,944883720.9302325,-67.59
172,945000000.0,-59.63
173,945116279.0697675,-53.84
174,945232558.1395348,-50.34
175,945348837.2093023,-50.22
176,945465116.2790698,-49.8
177,945581395.3488373,-48.41
178,945697674.4186046,-48.33
179,945813953.4883721,-50.44
180,945930232.5581396,-50.39
181,946046511.627907,-48.55
182,946162790.6976744,-48.82
183,946279069.7674419,-50.29
184,946395348.8372093,-49.66
185,946511627.9069767,-48.17
186,946627906.9767442,-48.36
187,946744186.0465117,-47.82
188,946860465.1162791,-48.14
189,946976744.1860465,-47.79
190,947093023.255814,-49.22
191,947209302.3255814,-48.82
192,947325581.3953488,-47.18
193,947441860.4651163,-47.13
194,947558139.5348837,-47.17
195,947674418.6046512,-47.06
196,947790697.6744186,-47.3
197,947906976.744186,-47.48
198,948023255.8139535,-47.72
199,948139534.8837209,-47.95
200,948255813.9534883,-48.25
201,948372093.0232558,-49.54
202,948488372.0930233,-50.18
203,948604651.1627907,-48.27
204,948720930.2325581,-47.96
205,948837209.3023256,-47.8
206,948953488.372093,-48.52
207,949069767.4418604,-52.28
208,949186046.5116279,-56.65
209,949302325.5813954,-61.5
210,949418604.6511627,-70.93
211,949534883.7209302,-78.67
212,949651162.7906977,-79.94
213,949767441.8604652,-81.45
214,949883720.9302325,-82.25
215,950000000.0,-82.63
216,950116279.0697675,-83.23
217,950232558.1395348,-83.46
218,950348837.2093023,-83.66
219,950465116.2790698,-83.6
220,950581395.3488373,-83.95
221,950697674.4186046,-81.06
222,950813953.4883721,-82.02
223,950930232.5581396,-81.07
224,951046511.627907,-82.52
225,951162790.6976744,-83.62
226,951279069.7674419,-83.91
227,951395348.8372093,-84.0
228,951511627.9069767,-83.65
229,951627906.9767442,-83.74
230,951744186.0465117,-83.66
231,951860465.1162791,-81.77
232,951976744.1860465,-78.21
233,952093023.255814,-75.51
234,952209302.3255814,-75.48
235,952325581.3953488,-77.97
236,952441860.4651163,-80.94
237,952558139.5348837,-82.22
238,952674418.6046512,-82.88
239,952790697.6744186,-83.97
240,952906976.744186,-84.01
241,953023255.8139535,-83.79
242,953139534.8837209,-83.82
243,953255813.9534883,-83.69
244,953372093.0232558,-83.87
245,953488372.0930233,-83.65
246,953604651.1627907,-83.44
247,953720930.2325581,-83.13
