i, frequency, magnitude
0,925000000.0,-84.29
1,925116279.0697675,-84.41
2,925232558.1395348,-84.3
3,925348837.2093023,-84.4
4,925465116.2790698,-84.36
5,925581395.3488373,-84.42
6,925697674.4186046,-84.54
7,925813953.4883721,-84.47
8,925930232.5581396,-83.63
9,926046511.6279069,-80.17
10,926162790.6976744,-74.98
11,926279069.7674419,-71.83
12,926395348.8372093,-71.57
13,926511627.9069767,-74.35
14,926627906.9767442,-79.17
15,926744186.0465117,-82.61
16,926860465.1162791,-82.38
17,926976744.1860465,-80.29
18,927093023.255814,-79.8
19,927209302.3255814,-80.38
20,927325581.3953488,-81.51
21,927441860.4651163,-81.83
22,927558139.5348837,-81.06
23,927674418.6046512,-80.71
24,927790697.6744186,-79.26
25,927906976.744186,-77.93
26,928023255.8139535,-78.18
27,928139534.8837209,-80.16
28,928255813.9534883,-82.64
29,928372093.0232558,-84.28
30,928488372.0930233,-84.38
31,928604651.1627907,-84.27
32,928720930.2325581,-83.8
33,928837209.3023256,-82.74
34,928953488.3720931,-82.93
35,929069767.4418604,-83.26
36,929186046.5116279,-83.59
37,929302325.5813954,-84.12
38,929418604.6511627,-84.04
39,929534883.7209302,-84.05
40,929651162.7906977,-83.58
41,929767441.8604652,-83.95
42,929883720.9302325,-84.19
43,930000000.0,-84.33
44,930116279.0697675,-84.27
45,930232558.1395348,-84.33
46,930348837.2093023,-84.32
47,930465116.2790698,-84.22
48,930581395.3488373,-84.41
49,930697674.4186046,-84.4
50,930813953.4883721,-84.62
51,930930232.5581396,-84.47
52,931046511.6279069,-84.66
53,931162790.6976744,-84.23
54,931279069.7674419,-84.25
55,931395348.8372093,-84.46
56,931511627.9069767,-84.13
57,931627906.9767442,-84.04
58,931744186.0465117,-83.91
59,931860465.1162791,-84.05
60,931976744.1860465,-84.19
61,932093023.255814,-84.33
62,932209302.3255814,-83.7
63,932325581.3953488,-81.72
64,932441860.4651163,-78.96
65,932558139.5348837,-77.76
66,932674418.6046512,-78.33
67,932790697.6744186,-77.75
68,932906976.744186,-76.27
69,933023255.8139535,-76.62
70,933139534.8837209,-79.23
71,933255813.9534883,-82.1
72,933372093.0232558,-83.1
73,933488372.0930233,-83.47
74,933604651.1627907,-83.02
75,933720930.2325581,-81.97
76,933837209.3023256,-84.16
77,933953488.3720931,-84.31
78,934069767.4418604,-84.45
79,934186046.5116279,-84.04
80,934302325.5813954,-82.54
81,934418604.6511627,-80.44
82,934534883.7209302,-78.34
83,934651162.7906977,-74.67
84,934767441.8604652,-69.82
85,934883720.9302325,-66.76
86,935000000.0,-66.49
87,935116279.0697675,-69.19
88,935232558.1395348,-75.01
89,935348837.2093023,-81.04
90,935465116.2790698,-81.8
91,935581395.3488373,-81.06
92,935697674.4186046,-80.62
93,935813953.4883721,-80.66
94,935930232.5581396,-80.66
95,936046511.6279069,-81.24
96,936162790.6976744,-81.17
97,936279069.7674419,-81.15
98,936395348.8372093,-81.13
99,936511627.9069767,-80.72
100,936627906.9767442,-80.12
101,936744186.0465117,-79.9
102,936860465.1162791,-79.86
103,936976744.1860465,-79.7
104,937093023.255814,-79.63
105,937209302.3255814,-79.53
106,937325581.3953488,-79.52
107,937441860.4651163,-79.84
108,937558139.5348837,-80.02
109,937674418.6046512,-80.26
110,937790697.6744186,-80.33
111,937906976.744186,-80.29
112,938023255.8139535,-80.02
113,938139534.8837209,-79.59
114,938255813.9534883,-79.42
115,938372093.0232558,-79.26
116,938488372.0930233,-79.89
117,938604651.1627907,-80.42
118,938720930.2325581,-80.03
119,938837209.3023256,-80.02
120,938953488.3720931,-80.2
121,939069767.4418604,-80.31
122,939186046.5116279,-81.05
123,939302325.5813954,-82.13
124,939418604.6511627,-82.3
125,939534883.7209302,-79.37
126,939651162.7906977,-75.84
127,939767441.8604652,-74.31
128,939883720.9302325,-74.63
129,940000000.0,-74.98
130,940116279.0697675,-75.18
131,940232558.1395348,-76.52
132,940348837.2093023,-79.71
133,940465116.2790698,-82.91
134,940581395.3488373,-84.02
135,940697674.4186046,-84.1
136,940813953.4883721,-83.76
137,940930232.5581396,-83.5
138,941046511.6279069,-83.56
139,941162790.6976744,-83.53
140,941279069.7674419,-82.96
141,941395348.8372093,-81.51
142,941511627.9069767,-80.56
143,941627906.9767442,-80.86
144,941744186.0465117,-81.82
145,941860465.1162791,-80.91
146,941976744.1860465,-77.76
147,942093023.255814,-75.42
148,942209302.3255814,-75.62
149,942325581.3953488,-78.18
150,942441860.4651163,-81.5
151,942558139.5348837,-83.34
152,942674418.6046512,-83.71
153,942790697.6744186,-83.2
154,942906976.744186,-81.86
155,943023255.8139535,-79.27
156,943139534.8837209,-78.93
157,943255813.9534883,-78.82
158,943372093.0232558,-78.21
159,943488372.0930233,-74.43
160,943604651.1627907,-70.77
161,943720930.2325581,-70.51
162,943837209.3023256,-70.63
163,943953488.372093,-74.04
164,944069767.4418604,-79.04
165,944186046.5116279,-81.38
166,944302325.5813954,-81.96
167,944418604.6511627,-80.52
168,944534883.7209302,-76.44
169,944651162.7906977,-72.7
170,944767441.8604652,-71.12
171,944883720.9302325,-68.4
172,945000000.0,-60.83
173,945116279.0697675,-54.37
174,945232558.1395348,-50.52
175,945348837.2093023,-47.55
176,945465116.2790698,-47.29
177,945581395.3488373,-48.9
178,945697674.4186046,-49.19
179,945813953.4883721,-51.13
180,945930232.5581396,-50.3
181,946046511.627907,-48.96
182,946162790.6976744,-48.91
183,946279069.7674419,-48.81
184,946395348.8372093,-49.11
185,946511627.9069767,-48.62
186,946627906.9767442,-48.84
187,946744186.0465117,-48.26
188,946860465.1162791,-49.92
189,946976744.1860465,-49.83
