i, frequency, magnitude
0,925000000.0,-84.52
1,925116279.0697675,-84.39
2,925232558.1395348,-84.62
3,925348837.2093023,-84.4
4,925465116.2790698,-84.51
5,925581395.3488373,-84.38
6,925697674.4186046,-84.38
7,925813953.4883721,-84.35
8,925930232.5581396,-83.6
9,926046511.6279069,-79.77
10,926162790.6976744,-74.54
11,926279069.7674419,-71.37
12,926395348.8372093,-71.13
13,926511627.9069767,-73.53
14,926627906.9767442,-78.84
15,926744186.0465117,-81.53
16,926860465.1162791,-81.6
17,926976744.1860465,-80.93
18,927093023.255814,-80.4
19,927209302.3255814,-80.82
20,927325581.3953488,-82.43
21,927441860.4651163,-82.74
22,927558139.5348837,-82.29
23,927674418.6046512,-78.86
24,927790697.6744186,-75.85
25,927906976.744186,-73.6
26,928023255.8139535,-73.54
27,928139534.8837209,-77.71
28,928255813.9534883,-81.24
29,928372093.0232558,-83.3
30,928488372.0930233,-83.35
31,928604651.1627907,-83.21
32,928720930.2325581,-83.51
33,928837209.3023256,-83.29
34,928953488.3720931,-83.58
35,929069767.4418604,-83.77
36,929186046.5116279,-84.08
37,929302325.5813954,-83.98
38,929418604.6511627,-84.08
39,929534883.7209302,-84.0
40,929651162.7906977,-84.03
41,929767441.8604652,-83.89
42,929883720.9302325,-84.21
43,930000000.0,-84.31
44,930116279.0697675,-84.42
45,930232558.1395348,-84.38
46,930348837.2093023,-84.36
47,930465116.2790698,-84.24
48,930581395.3488373,-84.48
49,930697674.4186046,-84.45
50,930813953.4883721,-84.45
51,930930232.5581396,-84.5
52,931046511.6279069,-84.39
53,931162790.6976744,-84.3
54,931279069.7674419,-84.43
55,931395348.8372093,-84.15
56,931511627.9069767,-84.22
57,931627906.9767442,-84.25
58,931744186.0465117,-84.35
59,931860465.1162791,-84.36
60,931976744.1860465,-84.32
61,932093023.255814,-84.3
62,932209302.3255814,-83.71
63,932325581.3953488,-81.7
64,932441860.4651163,-78.91
65,932558139.5348837,-77.61
66,932674418.6046512,-77.99
67,932790697.6744186,-77.03
68,932906976.744186,-75.28
69,933023255.8139535,-75.64
70,933139534.8837209,-78.49
71,933255813.9534883,-81.92
72,933372093.0232558,-83.93
73,933488372.0930233,-83.98
74,933604651.1627907,-83.64
75,933720930.2325581,-83.84
76,933837209.3023256,-84.18
77,933953488.3720931,-84.34
78,934069767.4418604,-84.36
79,934186046.5116279,-84.07
80,934302325.5813954,-80.42
81,934418604.6511627,-80.98
82,934534883.7209302,-75.8
83,934651162.7906977,-73.82
84,934767441.8604652,-69.12
85,934883720.9302325,-65.86
86,935000000.0,-65.81
87,935116279.0697675,-68.53
88,935232558.1395348,-74.4
89,935348837.2093023,-80.51
90,935465116.2790698,-81.68
91,935581395.3488373,-80.87
92,935697674.4186046,-80.67
93,935813953.4883721,-80.88
94,935930232.5581396,-80.62
